Proco ''Joe'' Moreno ,Ronald J. Baltierra ,Deborah Lopez ,prec_id
187.0,9.0,54.0,C01001
140.0,12.0,58.0,C01002
122.0,11.0,18.0,C01003
153.0,13.0,27.0,C01004
135.0,17.0,30.0,C01005
151.0,12.0,53.0,C01006
170.0,7.0,50.0,C01007
166.0,14.0,44.0,C01008
172.0,6.0,37.0,C01009
159.0,29.0,42.0,C01010
155.0,13.0,54.0,C01011
186.0,14.0,70.0,C01012
229.0,8.0,54.0,C01013
171.0,7.0,43.0,C01014
115.0,5.0,52.0,C01015
87.0,6.0,8.0,C01016
97.0,8.0,23.0,C01017
125.0,6.0,80.0,C01018
123.0,5.0,70.0,C01019
238.0,7.0,39.0,C01020
131.0,19.0,22.0,C01021
113.0,9.0,59.0,C01022
137.0,4.0,36.0,C01023
233.0,7.0,71.0,C01024
106.0,18.0,38.0,C01025
120.0,7.0,45.0,C01026
109.0,3.0,44.0,C01027
85.0,8.0,23.0,C01028
192.0,9.0,46.0,C01029
248.0,8.0,64.0,C01030
172.0,9.0,40.0,C01031
153.0,6.0,45.0,C01032
161.0,6.0,59.0,C01033
128.0,5.0,38.0,C01034
129.0,14.0,31.0,C01035
158.0,11.0,53.0,C01036
106.0,5.0,39.0,C01037
96.0,5.0,32.0,C01038
196.0,11.0,44.0,C01039
63.0,6.0,28.0,C01040
160.0,10.0,48.0,C01041
136.0,6.0,32.0,C01042
137.0,3.0,49.0,C01043
116.0,5.0,58.0,C01044
147.0,8.0,45.0,C01045
196.0,10.0,32.0,C01046
132.0,9.0,38.0,C01047
118.0,18.0,28.0,C01048
90.0,8.0,21.0,C01049
94.0,1.0,33.0,C01050
