Marty Quinn,prec_id
260.0,C13001
172.0,C13002
262.0,C13003
408.0,C13004
277.0,C13005
222.0,C13006
219.0,C13007
275.0,C13008
264.0,C13009
204.0,C13010
207.0,C13011
203.0,C13012
281.0,C13013
217.0,C13014
315.0,C13015
289.0,C13016
253.0,C13017
192.0,C13018
269.0,C13019
195.0,C13020
276.0,C13021
200.0,C13022
234.0,C13023
246.0,C13024
232.0,C13025
258.0,C13026
261.0,C13027
202.0,C13028
210.0,C13029
323.0,C13030
225.0,C13031
195.0,C13032
202.0,C13033
342.0,C13034
257.0,C13035
120.0,C13036
234.0,C13037
252.0,C13038
239.0,C13039
257.0,C13040
221.0,C13041
225.0,C13042
266.0,C13043
337.0,C13044
290.0,C13045
265.0,C13046
248.0,C13047
