Joann Thompson,Eric Hermosillo,Eddie Johnson Iii,Hal E. Baskin,Javier Diaz,Tameka Gavin,Jeffrey L. Lewis,Ronald Mitchell,Jonathan T. Stamps,prec_id
42.0,13.0,4.0,4.0,8.0,5.0,2.0,6.0,3.0,C16001
62.0,1.0,3.0,21.0,1.0,10.0,0.0,2.0,3.0,C16002
93.0,2.0,4.0,44.0,0.0,3.0,0.0,9.0,2.0,C16003
26.0,47.0,1.0,8.0,22.0,5.0,0.0,0.0,3.0,C16004
72.0,2.0,6.0,53.0,2.0,1.0,4.0,8.0,4.0,C16005
28.0,10.0,0.0,18.0,2.0,5.0,0.0,0.0,2.0,C16006
92.0,9.0,5.0,21.0,9.0,2.0,1.0,1.0,2.0,C16007
55.0,5.0,2.0,19.0,6.0,39.0,0.0,2.0,13.0,C16008
86.0,5.0,6.0,62.0,1.0,2.0,24.0,3.0,1.0,C16009
93.0,7.0,2.0,30.0,3.0,21.0,0.0,1.0,46.0,C16010
69.0,30.0,1.0,38.0,21.0,4.0,1.0,8.0,2.0,C16011
49.0,5.0,3.0,14.0,4.0,6.0,1.0,4.0,7.0,C16012
50.0,70.0,1.0,10.0,20.0,0.0,1.0,1.0,1.0,C16013
59.0,0.0,7.0,45.0,3.0,2.0,3.0,10.0,0.0,C16014
97.0,4.0,9.0,22.0,2.0,5.0,0.0,8.0,4.0,C16015
74.0,7.0,3.0,34.0,7.0,5.0,2.0,18.0,1.0,C16016
27.0,120.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,C16017
77.0,6.0,10.0,36.0,0.0,5.0,2.0,10.0,1.0,C16018
85.0,4.0,7.0,35.0,8.0,24.0,0.0,1.0,7.0,C16019
49.0,1.0,1.0,44.0,0.0,3.0,1.0,1.0,0.0,C16020
46.0,113.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,C16021
65.0,1.0,3.0,28.0,0.0,0.0,5.0,6.0,1.0,C16022
35.0,46.0,3.0,8.0,35.0,2.0,0.0,3.0,0.0,C16023
39.0,1.0,5.0,16.0,1.0,10.0,4.0,0.0,1.0,C16024
55.0,0.0,11.0,31.0,2.0,1.0,4.0,2.0,2.0,C16025
66.0,0.0,13.0,53.0,1.0,4.0,1.0,10.0,0.0,C16026
116.0,2.0,7.0,103.0,0.0,3.0,7.0,5.0,1.0,C16027
84.0,2.0,13.0,58.0,2.0,4.0,5.0,2.0,0.0,C16028
37.0,1.0,9.0,26.0,6.0,7.0,0.0,11.0,4.0,C16029
46.0,1.0,5.0,29.0,2.0,7.0,2.0,11.0,7.0,C16030
102.0,3.0,3.0,55.0,1.0,2.0,3.0,6.0,0.0,C16031
48.0,96.0,0.0,3.0,24.0,0.0,0.0,1.0,0.0,C16032
54.0,1.0,2.0,33.0,3.0,2.0,0.0,1.0,2.0,C16033
62.0,0.0,5.0,48.0,0.0,1.0,1.0,2.0,3.0,C16034
43.0,87.0,3.0,10.0,14.0,2.0,1.0,0.0,3.0,C16035
83.0,3.0,5.0,44.0,1.0,1.0,1.0,5.0,0.0,C16036
35.0,1.0,11.0,21.0,0.0,0.0,2.0,5.0,0.0,C16037
32.0,3.0,6.0,56.0,0.0,3.0,6.0,4.0,0.0,C16038
59.0,118.0,1.0,1.0,9.0,3.0,0.0,1.0,0.0,C16039
77.0,2.0,5.0,51.0,2.0,3.0,3.0,21.0,1.0,C16040
29.0,0.0,2.0,43.0,0.0,0.0,1.0,1.0,0.0,C16041
53.0,90.0,0.0,4.0,13.0,4.0,1.0,1.0,0.0,C16042
44.0,2.0,28.0,80.0,1.0,0.0,1.0,1.0,0.0,C16043
60.0,40.0,1.0,20.0,20.0,1.0,2.0,5.0,1.0,C16044
