Genita C. Robinson ,Bob Fioretti ,Federico Sciammarella ,James A. Bosco ,Melissa Callahan ,Enrique G. Perez ,prec_id
181.0,259.0,14.0,7.0,25.0,54.0,C02001
12.0,54.0,6.0,5.0,3.0,4.0,C02002
59.0,171.0,8.0,1.0,23.0,9.0,C02003
50.0,121.0,1.0,2.0,7.0,3.0,C02004
58.0,114.0,3.0,3.0,35.0,10.0,C02005
90.0,265.0,7.0,5.0,16.0,7.0,C02006
94.0,146.0,6.0,9.0,11.0,8.0,C02007
125.0,201.0,22.0,3.0,17.0,16.0,C02008
68.0,126.0,3.0,0.0,14.0,11.0,C02009
40.0,101.0,2.0,1.0,7.0,7.0,C02010
196.0,191.0,19.0,4.0,3.0,18.0,C02011
113.0,212.0,4.0,6.0,15.0,8.0,C02012
51.0,175.0,0.0,2.0,21.0,9.0,C02013
111.0,159.0,6.0,2.0,9.0,8.0,C02014
25.0,74.0,0.0,2.0,15.0,3.0,C02015
77.0,234.0,14.0,4.0,14.0,4.0,C02016
33.0,102.0,4.0,3.0,17.0,4.0,C02017
93.0,136.0,97.0,1.0,4.0,7.0,C02018
118.0,257.0,40.0,6.0,11.0,16.0,C02019
154.0,177.0,14.0,3.0,16.0,12.0,C02020
90.0,181.0,14.0,0.0,9.0,6.0,C02021
237.0,161.0,16.0,0.0,5.0,30.0,C02022
49.0,81.0,3.0,10.0,13.0,4.0,C02023
49.0,106.0,1.0,4.0,4.0,12.0,C02024
110.0,211.0,7.0,3.0,13.0,15.0,C02025
95.0,145.0,23.0,2.0,13.0,12.0,C02026
24.0,131.0,0.0,1.0,14.0,2.0,C02027
56.0,112.0,10.0,5.0,14.0,12.0,C02028
27.0,114.0,3.0,3.0,5.0,3.0,C02029
104.0,198.0,18.0,2.0,7.0,14.0,C02030
99.0,106.0,7.0,2.0,9.0,5.0,C02031
24.0,92.0,7.0,2.0,5.0,11.0,C02032
39.0,68.0,0.0,1.0,13.0,0.0,C02033
62.0,117.0,2.0,3.0,14.0,1.0,C02034
39.0,33.0,2.0,1.0,2.0,9.0,C02035
136.0,225.0,43.0,6.0,15.0,27.0,C02036
111.0,101.0,11.0,1.0,5.0,21.0,C02037
142.0,232.0,53.0,7.0,11.0,17.0,C02038
44.0,152.0,5.0,1.0,13.0,24.0,C02039
149.0,316.0,44.0,4.0,20.0,29.0,C02040
38.0,53.0,1.0,2.0,12.0,3.0,C02041
28.0,120.0,2.0,6.0,4.0,2.0,C02042
163.0,149.0,11.0,1.0,3.0,19.0,C02043
57.0,91.0,2.0,4.0,9.0,5.0,C02044
59.0,135.0,3.0,4.0,26.0,11.0,C02045
152.0,153.0,4.0,0.0,9.0,9.0,C02046
37.0,90.0,3.0,0.0,5.0,3.0,C02047
30.0,69.0,1.0,1.0,16.0,0.0,C02048
74.0,166.0,8.0,2.0,8.0,20.0,C02049
46.0,111.0,1.0,3.0,5.0,7.0,C02050
31.0,101.0,1.0,4.0,13.0,9.0,C02051
62.0,153.0,13.0,3.0,17.0,12.0,C02052
71.0,132.0,12.0,2.0,6.0,15.0,C02053
121.0,154.0,8.0,0.0,4.0,46.0,C02054
33.0,89.0,11.0,1.0,5.0,7.0,C02055
48.0,105.0,3.0,2.0,37.0,8.0,C02056
