George E. Davis,Andre Smith,Willie B. Cochran,Che ''Rhymefest'' Smith,Sidney (Sid) Shelton,prec_id
29.0,36.0,80.0,25.0,5.0,C20001
33.0,25.0,77.0,24.0,6.0,C20002
24.0,37.0,73.0,13.0,5.0,C20003
47.0,20.0,62.0,24.0,5.0,C20004
31.0,6.0,64.0,17.0,2.0,C20005
46.0,20.0,87.0,41.0,9.0,C20006
13.0,21.0,13.0,9.0,0.0,C20007
18.0,13.0,23.0,15.0,3.0,C20008
64.0,27.0,136.0,48.0,6.0,C20009
12.0,12.0,88.0,30.0,14.0,C20010
12.0,22.0,34.0,18.0,3.0,C20011
13.0,6.0,62.0,24.0,2.0,C20012
20.0,20.0,77.0,18.0,7.0,C20013
38.0,38.0,102.0,45.0,4.0,C20014
48.0,13.0,63.0,39.0,12.0,C20015
53.0,17.0,126.0,52.0,3.0,C20016
9.0,47.0,40.0,24.0,4.0,C20017
27.0,14.0,54.0,31.0,10.0,C20018
8.0,14.0,75.0,35.0,5.0,C20019
9.0,10.0,34.0,14.0,5.0,C20020
24.0,19.0,43.0,15.0,4.0,C20021
62.0,21.0,141.0,54.0,3.0,C20022
10.0,64.0,103.0,47.0,4.0,C20023
33.0,38.0,89.0,49.0,4.0,C20024
12.0,13.0,72.0,35.0,8.0,C20025
33.0,20.0,104.0,33.0,11.0,C20026
30.0,15.0,50.0,48.0,2.0,C20027
18.0,40.0,60.0,40.0,7.0,C20028
56.0,16.0,98.0,36.0,4.0,C20029
12.0,59.0,45.0,22.0,9.0,C20030
13.0,36.0,82.0,46.0,0.0,C20031
18.0,24.0,51.0,17.0,5.0,C20032
27.0,22.0,83.0,33.0,4.0,C20033
42.0,32.0,158.0,65.0,3.0,C20034
12.0,5.0,42.0,10.0,3.0,C20035
25.0,20.0,66.0,23.0,4.0,C20036
27.0,32.0,79.0,37.0,2.0,C20037
6.0,1.0,23.0,6.0,3.0,C20038
16.0,16.0,60.0,74.0,7.0,C20039
17.0,17.0,68.0,24.0,3.0,C20040
19.0,4.0,21.0,6.0,1.0,C20041
10.0,33.0,52.0,44.0,0.0,C20042
11.0,9.0,14.0,12.0,1.0,C20043
35.0,21.0,150.0,24.0,5.0,C20044
18.0,8.0,58.0,21.0,5.0,C20045
21.0,12.0,64.0,55.0,6.0,C20046
22.0,12.0,64.0,26.0,12.0,C20047
10.0,18.0,28.0,10.0,3.0,C20048
9.0,27.0,61.0,15.0,8.0,C20049
11.0,18.0,34.0,10.0,7.0,C20050
