Sheldon L. Sherman,Patricia A. Foster,Sylvia Y. Jones,"Howard B. Brookins, Jr.",Jerome Maddox,prec_id
82.0,15.0,40.0,199.0,2.0,C21001
34.0,14.0,22.0,144.0,0.0,C21002
36.0,13.0,25.0,98.0,5.0,C21003
59.0,16.0,27.0,122.0,7.0,C21004
51.0,23.0,29.0,131.0,4.0,C21005
32.0,16.0,22.0,109.0,8.0,C21006
29.0,10.0,16.0,179.0,15.0,C21007
33.0,31.0,15.0,162.0,6.0,C21008
41.0,27.0,19.0,141.0,14.0,C21009
20.0,14.0,14.0,120.0,6.0,C21010
56.0,15.0,61.0,96.0,1.0,C21011
57.0,18.0,44.0,122.0,5.0,C21012
22.0,7.0,14.0,82.0,3.0,C21013
38.0,15.0,5.0,149.0,12.0,C21014
32.0,53.0,14.0,70.0,5.0,C21015
31.0,44.0,9.0,131.0,1.0,C21016
52.0,26.0,19.0,133.0,6.0,C21017
69.0,20.0,3.0,108.0,6.0,C21018
31.0,14.0,32.0,106.0,2.0,C21019
29.0,16.0,7.0,84.0,3.0,C21020
57.0,25.0,61.0,104.0,11.0,C21021
42.0,31.0,28.0,96.0,3.0,C21022
64.0,12.0,14.0,80.0,3.0,C21023
37.0,16.0,24.0,153.0,2.0,C21024
39.0,11.0,17.0,96.0,2.0,C21025
50.0,16.0,18.0,107.0,4.0,C21026
56.0,11.0,27.0,124.0,5.0,C21027
30.0,19.0,27.0,106.0,8.0,C21028
20.0,24.0,5.0,49.0,6.0,C21029
52.0,21.0,9.0,71.0,2.0,C21030
115.0,23.0,21.0,120.0,6.0,C21031
33.0,59.0,7.0,101.0,3.0,C21032
50.0,18.0,29.0,125.0,5.0,C21033
42.0,40.0,30.0,144.0,1.0,C21034
43.0,22.0,6.0,51.0,0.0,C21035
21.0,71.0,3.0,78.0,1.0,C21036
74.0,15.0,16.0,115.0,4.0,C21037
53.0,27.0,13.0,133.0,2.0,C21038
26.0,33.0,14.0,110.0,1.0,C21039
31.0,17.0,22.0,131.0,4.0,C21040
17.0,20.0,11.0,112.0,0.0,C21041
66.0,19.0,51.0,76.0,4.0,C21042
27.0,15.0,68.0,93.0,2.0,C21043
45.0,35.0,18.0,103.0,13.0,C21044
22.0,12.0,25.0,116.0,1.0,C21045
28.0,14.0,24.0,71.0,3.0,C21046
66.0,19.0,21.0,156.0,3.0,C21047
41.0,20.0,33.0,112.0,8.0,C21048
50.0,19.0,17.0,188.0,4.0,C21049
50.0,22.0,29.0,129.0,8.0,C21050
47.0,31.0,19.0,130.0,4.0,C21051
47.0,24.0,11.0,137.0,1.0,C21052
35.0,11.0,41.0,126.0,2.0,C21053
33.0,16.0,32.0,111.0,2.0,C21054
47.0,32.0,17.0,139.0,4.0,C21055
25.0,21.0,19.0,105.0,4.0,C21056
42.0,76.0,6.0,79.0,0.0,C21057
30.0,10.0,38.0,99.0,1.0,C21058
50.0,28.0,56.0,133.0,2.0,C21059
35.0,26.0,18.0,138.0,14.0,C21060
52.0,30.0,19.0,132.0,13.0,C21061
37.0,29.0,11.0,127.0,3.0,C21062
58.0,14.0,12.0,108.0,9.0,C21063
14.0,16.0,11.0,56.0,4.0,C21064
48.0,24.0,36.0,210.0,3.0,C21065
23.0,18.0,18.0,120.0,9.0,C21066
47.0,51.0,21.0,112.0,4.0,C21067
40.0,29.0,21.0,126.0,4.0,C21068
21.0,20.0,11.0,112.0,4.0,C21069
29.0,59.0,9.0,85.0,3.0,C21070
37.0,40.0,15.0,82.0,4.0,C21071
25.0,72.0,18.0,122.0,4.0,C21072
32.0,65.0,25.0,140.0,8.0,C21073
10.0,10.0,11.0,44.0,1.0,C21074
