Charles V. ''Chuck'' Maida,Michael R. Zalewski,Anna Goral,prec_id
37.0,188.0,82.0,C23001
59.0,207.0,130.0,C23002
45.0,179.0,125.0,C23003
44.0,160.0,104.0,C23004
18.0,105.0,88.0,C23005
7.0,175.0,118.0,C23006
32.0,184.0,98.0,C23007
26.0,162.0,122.0,C23008
31.0,166.0,101.0,C23009
18.0,199.0,99.0,C23010
59.0,190.0,107.0,C23011
35.0,217.0,110.0,C23012
57.0,203.0,139.0,C23013
61.0,138.0,96.0,C23014
72.0,139.0,112.0,C23015
58.0,185.0,101.0,C23016
53.0,194.0,150.0,C23017
43.0,119.0,95.0,C23018
61.0,132.0,88.0,C23019
46.0,165.0,77.0,C23020
38.0,60.0,161.0,C23021
56.0,134.0,110.0,C23022
31.0,204.0,83.0,C23023
37.0,91.0,53.0,C23024
9.0,134.0,92.0,C23025
53.0,190.0,109.0,C23026
56.0,175.0,74.0,C23027
70.0,173.0,103.0,C23028
21.0,130.0,91.0,C23029
67.0,153.0,78.0,C23030
16.0,150.0,84.0,C23031
8.0,170.0,105.0,C23032
29.0,181.0,116.0,C23033
24.0,118.0,116.0,C23034
21.0,64.0,95.0,C23035
71.0,221.0,133.0,C23036
11.0,62.0,78.0,C23037
41.0,161.0,66.0,C23038
28.0,160.0,107.0,C23039
62.0,159.0,102.0,C23040
15.0,136.0,128.0,C23041
46.0,143.0,82.0,C23042
74.0,189.0,129.0,C23043
36.0,193.0,97.0,C23044
107.0,195.0,102.0,C23045
61.0,173.0,97.0,C23046
50.0,212.0,117.0,C23047
22.0,128.0,95.0,C23048
50.0,256.0,109.0,C23049
21.0,79.0,83.0,C23050
13.0,152.0,76.0,C23051
66.0,199.0,131.0,C23052
11.0,109.0,80.0,C23053
60.0,198.0,122.0,C23054
