Tom Courtney,"Walter Burnett, Jr.",Gevonna Fassett,prec_id
153.0,188.0,15.0,C27001
18.0,93.0,16.0,C27002
8.0,100.0,16.0,C27003
15.0,101.0,11.0,C27004
63.0,55.0,3.0,C27005
3.0,32.0,1.0,C27006
81.0,155.0,11.0,C27007
9.0,107.0,21.0,C27008
47.0,192.0,6.0,C27009
28.0,273.0,10.0,C27010
81.0,110.0,6.0,C27011
122.0,146.0,8.0,C27012
69.0,116.0,15.0,C27013
18.0,193.0,26.0,C27014
12.0,86.0,9.0,C27015
27.0,37.0,2.0,C27016
113.0,125.0,12.0,C27017
77.0,104.0,14.0,C27018
15.0,116.0,14.0,C27019
11.0,168.0,4.0,C27020
24.0,123.0,7.0,C27021
13.0,151.0,9.0,C27022
1.0,32.0,0.0,C27023
11.0,109.0,9.0,C27024
4.0,73.0,17.0,C27025
14.0,145.0,12.0,C27026
22.0,122.0,20.0,C27027
48.0,142.0,8.0,C27028
19.0,97.0,8.0,C27029
11.0,63.0,10.0,C27030
8.0,107.0,10.0,C27031
47.0,169.0,9.0,C27032
26.0,121.0,5.0,C27033
3.0,162.0,11.0,C27034
46.0,97.0,19.0,C27035
14.0,158.0,12.0,C27036
43.0,193.0,12.0,C27037
62.0,77.0,15.0,C27038
14.0,60.0,8.0,C27039
2.0,113.0,8.0,C27040
71.0,167.0,18.0,C27041
68.0,106.0,4.0,C27042
11.0,47.0,2.0,C27043
10.0,82.0,8.0,C27044
7.0,85.0,15.0,C27045
14.0,120.0,15.0,C27046
7.0,97.0,15.0,C27047
28.0,132.0,16.0,C27048
18.0,105.0,11.0,C27049
97.0,140.0,28.0,C27050
2.0,12.0,2.0,C27051
3.0,96.0,18.0,C27052
31.0,124.0,9.0,C27053
103.0,130.0,8.0,C27054
8.0,100.0,23.0,C27055
55.0,70.0,13.0,C27056
40.0,76.0,3.0,C27057
48.0,48.0,9.0,C27058
55.0,138.0,19.0,C27059
