C B Johnson,Deborah L. Graham,Thomas E. Simmons,Mary Russell Gardner,Jill R. Bush,Oddis''O.J''Johnson,Roman Morrow,Beverly D. Rogers,prec_id
68.0,185.0,9.0,29.0,16.0,3.0,3.0,9.0,C29001
3.0,66.0,58.0,14.0,4.0,0.0,5.0,1.0,C29002
64.0,158.0,14.0,22.0,8.0,2.0,1.0,9.0,C29003
20.0,131.0,28.0,16.0,9.0,4.0,4.0,4.0,C29004
10.0,104.0,11.0,30.0,20.0,5.0,5.0,6.0,C29005
5.0,49.0,28.0,12.0,9.0,0.0,3.0,3.0,C29006
6.0,61.0,20.0,22.0,6.0,1.0,5.0,11.0,C29007
12.0,102.0,5.0,19.0,5.0,10.0,1.0,3.0,C29008
9.0,69.0,28.0,23.0,25.0,1.0,7.0,11.0,C29009
8.0,43.0,18.0,18.0,15.0,1.0,8.0,6.0,C29010
80.0,91.0,7.0,22.0,45.0,2.0,3.0,5.0,C29011
16.0,86.0,108.0,11.0,17.0,2.0,2.0,10.0,C29012
9.0,158.0,14.0,16.0,15.0,4.0,11.0,3.0,C29013
74.0,140.0,11.0,14.0,7.0,1.0,4.0,4.0,C29014
5.0,101.0,138.0,8.0,8.0,2.0,0.0,9.0,C29015
32.0,204.0,8.0,25.0,20.0,3.0,1.0,6.0,C29016
10.0,48.0,121.0,6.0,4.0,0.0,2.0,9.0,C29017
17.0,155.0,13.0,27.0,18.0,2.0,7.0,6.0,C29018
54.0,121.0,21.0,32.0,65.0,4.0,3.0,5.0,C29019
43.0,147.0,14.0,24.0,31.0,2.0,9.0,7.0,C29020
22.0,92.0,9.0,36.0,10.0,1.0,5.0,12.0,C29021
20.0,71.0,15.0,20.0,32.0,7.0,17.0,11.0,C29022
34.0,112.0,11.0,19.0,14.0,1.0,2.0,3.0,C29023
1.0,65.0,32.0,25.0,8.0,0.0,2.0,6.0,C29024
8.0,169.0,39.0,12.0,7.0,0.0,1.0,2.0,C29025
22.0,106.0,17.0,11.0,5.0,25.0,1.0,6.0,C29026
18.0,73.0,1.0,20.0,25.0,1.0,4.0,6.0,C29027
45.0,158.0,17.0,20.0,8.0,3.0,4.0,20.0,C29028
13.0,193.0,26.0,16.0,10.0,0.0,9.0,3.0,C29029
7.0,63.0,36.0,11.0,16.0,0.0,4.0,7.0,C29030
54.0,82.0,5.0,21.0,5.0,2.0,0.0,6.0,C29031
11.0,66.0,40.0,20.0,14.0,0.0,9.0,8.0,C29032
30.0,129.0,8.0,26.0,6.0,1.0,2.0,3.0,C29033
7.0,95.0,10.0,18.0,12.0,5.0,3.0,4.0,C29034
18.0,123.0,9.0,18.0,10.0,4.0,1.0,7.0,C29035
13.0,184.0,50.0,15.0,9.0,3.0,3.0,10.0,C29036
11.0,118.0,24.0,21.0,10.0,9.0,9.0,8.0,C29037
46.0,106.0,12.0,22.0,7.0,3.0,2.0,14.0,C29038
16.0,57.0,44.0,29.0,5.0,0.0,4.0,16.0,C29039
74.0,114.0,19.0,24.0,22.0,11.0,8.0,7.0,C29040
20.0,145.0,11.0,18.0,8.0,22.0,4.0,6.0,C29041
93.0,94.0,14.0,21.0,8.0,1.0,3.0,12.0,C29042
19.0,164.0,35.0,14.0,12.0,13.0,3.0,6.0,C29043
9.0,132.0,28.0,17.0,8.0,0.0,6.0,3.0,C29044
13.0,82.0,14.0,14.0,9.0,5.0,45.0,6.0,C29045
6.0,125.0,9.0,14.0,10.0,25.0,13.0,5.0,C29046
13.0,161.0,9.0,66.0,21.0,1.0,6.0,6.0,C29047
10.0,94.0,20.0,15.0,6.0,8.0,49.0,2.0,C29048
63.0,129.0,29.0,31.0,31.0,8.0,2.0,10.0,C29049
