Ebony Tillman ,Pat Dowell ,prec_id
101.0,113.0,C03001
76.0,217.0,C03002
48.0,212.0,C03003
64.0,98.0,C03004
56.0,141.0,C03005
9.0,26.0,C03006
87.0,198.0,C03007
90.0,119.0,C03008
84.0,150.0,C03009
49.0,26.0,C03010
76.0,150.0,C03011
70.0,113.0,C03012
26.0,131.0,C03013
40.0,115.0,C03014
108.0,148.0,C03015
77.0,118.0,C03016
44.0,84.0,C03017
36.0,60.0,C03018
10.0,44.0,C03019
64.0,107.0,C03020
27.0,50.0,C03021
39.0,81.0,C03022
108.0,100.0,C03023
92.0,198.0,C03024
48.0,102.0,C03025
19.0,32.0,C03026
71.0,129.0,C03027
44.0,424.0,C03028
67.0,127.0,C03029
53.0,113.0,C03030
137.0,160.0,C03031
64.0,114.0,C03032
77.0,185.0,C03033
62.0,132.0,C03034
97.0,120.0,C03035
23.0,41.0,C03036
28.0,70.0,C03037
72.0,263.0,C03038
111.0,209.0,C03039
94.0,133.0,C03040
61.0,127.0,C03041
61.0,108.0,C03042
22.0,13.0,C03043
24.0,20.0,C03044
58.0,266.0,C03045
17.0,36.0,C03046
34.0,93.0,C03047
59.0,76.0,C03048
20.0,38.0,C03049
27.0,67.0,C03050
