Regner ''Ray'' Suarez,prec_id
76.0,C31001
93.0,C31002
140.0,C31003
100.0,C31004
150.0,C31005
113.0,C31006
112.0,C31007
93.0,C31008
111.0,C31009
64.0,C31010
133.0,C31011
106.0,C31012
111.0,C31013
120.0,C31014
62.0,C31015
97.0,C31016
99.0,C31017
106.0,C31018
120.0,C31019
76.0,C31020
132.0,C31021
78.0,C31022
77.0,C31023
106.0,C31024
108.0,C31025
86.0,C31026
90.0,C31027
124.0,C31028
125.0,C31029
132.0,C31030
164.0,C31031
166.0,C31032
135.0,C31033
99.0,C31034
79.0,C31035
148.0,C31036
92.0,C31037
85.0,C31038
79.0,C31039
72.0,C31040
121.0,C31041
132.0,C31042
159.0,C31043
96.0,C31044
112.0,C31045
113.0,C31046
115.0,C31047
100.0,C31048
67.0,C31049
150.0,C31050
84.0,C31051
