David M. Pavlik,Scott Waguespack,Brian Gorman,Bryan P. Lynch,prec_id
88.0,156.0,6.0,33.0,C32001
40.0,165.0,9.0,56.0,C32002
28.0,112.0,4.0,68.0,C32003
28.0,255.0,3.0,33.0,C32004
26.0,131.0,8.0,41.0,C32005
120.0,123.0,6.0,45.0,C32006
49.0,131.0,10.0,16.0,C32007
46.0,278.0,10.0,30.0,C32008
31.0,316.0,54.0,20.0,C32009
55.0,166.0,19.0,22.0,C32010
57.0,113.0,2.0,22.0,C32011
31.0,104.0,5.0,32.0,C32012
27.0,93.0,4.0,16.0,C32013
34.0,161.0,15.0,32.0,C32014
51.0,107.0,33.0,7.0,C32015
56.0,141.0,11.0,23.0,C32016
93.0,148.0,7.0,43.0,C32017
27.0,132.0,12.0,19.0,C32018
35.0,128.0,100.0,26.0,C32019
57.0,153.0,3.0,40.0,C32020
36.0,131.0,23.0,29.0,C32021
44.0,229.0,22.0,17.0,C32022
40.0,221.0,9.0,13.0,C32023
41.0,218.0,24.0,30.0,C32024
30.0,121.0,52.0,17.0,C32025
71.0,153.0,2.0,13.0,C32026
52.0,202.0,5.0,17.0,C32027
23.0,125.0,5.0,32.0,C32028
34.0,153.0,5.0,41.0,C32029
45.0,215.0,12.0,31.0,C32030
44.0,207.0,6.0,51.0,C32031
40.0,163.0,11.0,53.0,C32032
56.0,112.0,4.0,13.0,C32033
35.0,200.0,9.0,28.0,C32034
44.0,213.0,15.0,29.0,C32035
26.0,224.0,14.0,27.0,C32036
49.0,152.0,12.0,18.0,C32037
35.0,184.0,29.0,31.0,C32038
43.0,226.0,8.0,29.0,C32039
48.0,201.0,21.0,28.0,C32040
60.0,201.0,38.0,17.0,C32041
62.0,220.0,26.0,27.0,C32042
23.0,213.0,11.0,35.0,C32043
63.0,97.0,8.0,13.0,C32044
65.0,146.0,17.0,46.0,C32045
46.0,48.0,7.0,14.0,C32046
34.0,200.0,15.0,36.0,C32047
55.0,244.0,26.0,48.0,C32048
26.0,81.0,7.0,13.0,C32049
35.0,251.0,8.0,36.0,C32050
26.0,236.0,8.0,19.0,C32051
12.0,145.0,1.0,14.0,C32052
