Miguel Sotomayor,Rey Colon,Nancy Schiavone,prec_id
101.0,124.0,75.0,C35001
108.0,105.0,37.0,C35002
41.0,130.0,36.0,C35003
48.0,159.0,71.0,C35004
62.0,138.0,47.0,C35005
51.0,148.0,63.0,C35006
79.0,142.0,89.0,C35007
50.0,86.0,101.0,C35008
42.0,115.0,58.0,C35009
66.0,141.0,58.0,C35010
82.0,109.0,67.0,C35011
51.0,149.0,101.0,C35012
24.0,47.0,9.0,C35013
65.0,147.0,53.0,C35014
96.0,108.0,51.0,C35015
38.0,162.0,72.0,C35016
70.0,154.0,52.0,C35017
80.0,130.0,98.0,C35018
77.0,134.0,61.0,C35019
56.0,133.0,27.0,C35020
84.0,139.0,39.0,C35021
6.0,65.0,28.0,C35022
69.0,55.0,23.0,C35023
42.0,83.0,35.0,C35024
43.0,164.0,73.0,C35025
54.0,177.0,71.0,C35026
93.0,148.0,72.0,C35027
60.0,172.0,73.0,C35028
51.0,107.0,148.0,C35029
89.0,162.0,88.0,C35030
38.0,74.0,18.0,C35031
38.0,108.0,13.0,C35032
55.0,108.0,77.0,C35033
53.0,158.0,65.0,C35034
79.0,89.0,56.0,C35035
44.0,104.0,22.0,C35036
