Timothy M. Cullerton,Tom Caravette,Carmen Hernandez,John R. Videckis,Edmund ''Ed'' J. Quartullo,Mahmoud Bambouyani,Bart Goldberg,Sheryl M. Morabito,prec_id
127.0,52.0,10.0,5.0,8.0,10.0,14.0,62.0,C38001
92.0,24.0,17.0,11.0,7.0,8.0,12.0,15.0,C38002
120.0,29.0,5.0,8.0,1.0,2.0,15.0,22.0,C38003
81.0,6.0,11.0,5.0,2.0,10.0,12.0,11.0,C38004
178.0,118.0,19.0,8.0,7.0,12.0,63.0,19.0,C38005
97.0,40.0,33.0,27.0,3.0,6.0,9.0,13.0,C38006
96.0,48.0,3.0,3.0,3.0,7.0,122.0,9.0,C38007
105.0,29.0,9.0,7.0,0.0,9.0,14.0,0.0,C38008
102.0,64.0,9.0,3.0,5.0,27.0,41.0,13.0,C38009
98.0,64.0,19.0,3.0,6.0,8.0,77.0,23.0,C38010
93.0,43.0,13.0,6.0,6.0,22.0,10.0,10.0,C38011
135.0,43.0,8.0,7.0,5.0,11.0,16.0,12.0,C38012
84.0,86.0,19.0,7.0,6.0,14.0,10.0,3.0,C38013
107.0,64.0,4.0,0.0,3.0,11.0,14.0,8.0,C38014
76.0,50.0,10.0,1.0,1.0,11.0,4.0,6.0,C38015
91.0,67.0,22.0,3.0,10.0,8.0,21.0,9.0,C38016
101.0,28.0,21.0,0.0,11.0,14.0,17.0,3.0,C38017
126.0,74.0,4.0,6.0,7.0,11.0,18.0,14.0,C38018
177.0,51.0,11.0,8.0,1.0,13.0,18.0,24.0,C38019
98.0,71.0,5.0,4.0,7.0,18.0,115.0,10.0,C38020
89.0,79.0,14.0,12.0,2.0,31.0,3.0,10.0,C38021
114.0,76.0,13.0,4.0,3.0,5.0,15.0,8.0,C38022
70.0,32.0,27.0,14.0,2.0,25.0,7.0,12.0,C38023
89.0,16.0,14.0,8.0,0.0,4.0,11.0,5.0,C38024
147.0,16.0,15.0,1.0,2.0,5.0,12.0,19.0,C38025
81.0,61.0,14.0,10.0,1.0,8.0,2.0,9.0,C38026
79.0,49.0,10.0,2.0,0.0,13.0,1.0,4.0,C38027
105.0,49.0,9.0,6.0,5.0,5.0,4.0,6.0,C38028
106.0,40.0,14.0,2.0,3.0,7.0,15.0,11.0,C38029
112.0,37.0,9.0,4.0,0.0,15.0,4.0,10.0,C38030
179.0,19.0,30.0,14.0,3.0,8.0,15.0,4.0,C38031
167.0,73.0,9.0,11.0,4.0,6.0,8.0,24.0,C38032
117.0,70.0,9.0,4.0,1.0,9.0,4.0,8.0,C38033
98.0,18.0,20.0,8.0,0.0,2.0,20.0,5.0,C38034
148.0,46.0,23.0,8.0,2.0,14.0,19.0,20.0,C38035
108.0,55.0,13.0,10.0,5.0,13.0,18.0,7.0,C38036
121.0,25.0,38.0,11.0,7.0,14.0,6.0,19.0,C38037
100.0,65.0,20.0,23.0,6.0,10.0,19.0,38.0,C38038
101.0,44.0,20.0,11.0,3.0,8.0,14.0,15.0,C38039
86.0,33.0,5.0,3.0,4.0,24.0,13.0,6.0,C38040
232.0,54.0,6.0,7.0,3.0,21.0,14.0,26.0,C38041
155.0,68.0,5.0,2.0,2.0,28.0,14.0,14.0,C38042
81.0,74.0,15.0,23.0,8.0,42.0,6.0,12.0,C38043
120.0,68.0,12.0,6.0,6.0,17.0,7.0,12.0,C38044
122.0,116.0,15.0,2.0,3.0,5.0,8.0,11.0,C38045
99.0,41.0,16.0,17.0,5.0,8.0,19.0,5.0,C38046
131.0,62.0,11.0,6.0,3.0,21.0,8.0,6.0,C38047
74.0,57.0,14.0,11.0,1.0,50.0,6.0,17.0,C38048
125.0,50.0,14.0,2.0,4.0,9.0,16.0,16.0,C38049
69.0,67.0,12.0,21.0,43.0,23.0,7.0,7.0,C38050
84.0,44.0,8.0,8.0,3.0,10.0,7.0,8.0,C38051
105.0,54.0,17.0,7.0,4.0,13.0,11.0,9.0,C38052
35.0,4.0,5.0,4.0,2.0,2.0,1.0,7.0,C38053
