Thomas Patrick Murphey,Daniel T. Lapinski,James J. Schamne,John Joseph Quinn,Mary O'Connor,Richard Gonzalez,Maurita E. Gavin,George Banna,Barbara Ateca,Jim Mullen,Brock Merck,prec_id
39.0,20.0,2.0,14.0,128.0,36.0,85.0,0.0,2.0,41.0,21.0,C41001
39.0,37.0,5.0,10.0,164.0,31.0,89.0,1.0,5.0,55.0,4.0,C41002
18.0,31.0,1.0,7.0,86.0,61.0,107.0,3.0,10.0,15.0,7.0,C41003
47.0,33.0,3.0,6.0,184.0,11.0,84.0,1.0,3.0,31.0,5.0,C41004
52.0,31.0,1.0,15.0,149.0,33.0,105.0,0.0,7.0,26.0,10.0,C41005
34.0,11.0,0.0,4.0,120.0,22.0,59.0,1.0,1.0,53.0,46.0,C41006
95.0,35.0,0.0,15.0,154.0,27.0,96.0,0.0,7.0,28.0,7.0,C41007
24.0,22.0,3.0,6.0,120.0,65.0,119.0,0.0,5.0,30.0,4.0,C41008
26.0,43.0,3.0,6.0,104.0,53.0,99.0,1.0,14.0,32.0,7.0,C41009
20.0,13.0,0.0,13.0,98.0,30.0,59.0,1.0,1.0,47.0,32.0,C41010
44.0,34.0,2.0,11.0,122.0,48.0,123.0,1.0,10.0,30.0,14.0,C41011
20.0,32.0,0.0,2.0,95.0,33.0,84.0,0.0,15.0,38.0,6.0,C41012
13.0,29.0,8.0,17.0,62.0,26.0,42.0,2.0,7.0,17.0,1.0,C41013
41.0,17.0,0.0,31.0,119.0,27.0,61.0,0.0,4.0,33.0,48.0,C41014
45.0,28.0,5.0,15.0,139.0,25.0,110.0,0.0,9.0,31.0,8.0,C41015
35.0,42.0,2.0,6.0,143.0,45.0,83.0,0.0,1.0,27.0,13.0,C41016
47.0,26.0,1.0,9.0,145.0,36.0,115.0,0.0,6.0,22.0,10.0,C41017
25.0,28.0,2.0,9.0,92.0,41.0,108.0,0.0,7.0,21.0,8.0,C41018
57.0,18.0,0.0,15.0,145.0,58.0,34.0,12.0,1.0,36.0,31.0,C41019
35.0,48.0,0.0,9.0,94.0,31.0,137.0,0.0,10.0,21.0,10.0,C41020
46.0,26.0,1.0,12.0,114.0,38.0,114.0,1.0,5.0,20.0,10.0,C41021
28.0,25.0,0.0,12.0,76.0,34.0,85.0,0.0,4.0,33.0,10.0,C41022
26.0,41.0,2.0,7.0,111.0,16.0,60.0,0.0,2.0,23.0,21.0,C41023
39.0,39.0,0.0,8.0,55.0,66.0,105.0,0.0,4.0,49.0,4.0,C41024
