Brendan Reilly,prec_id
307.0,C42001
152.0,C42002
216.0,C42003
235.0,C42004
210.0,C42005
438.0,C42006
189.0,C42007
294.0,C42008
501.0,C42009
187.0,C42010
267.0,C42011
178.0,C42012
378.0,C42013
216.0,C42014
267.0,C42015
183.0,C42016
348.0,C42017
449.0,C42018
83.0,C42019
122.0,C42020
177.0,C42021
163.0,C42022
296.0,C42023
263.0,C42024
211.0,C42025
235.0,C42026
281.0,C42027
220.0,C42028
263.0,C42029
160.0,C42030
237.0,C42031
198.0,C42032
296.0,C42033
204.0,C42034
199.0,C42035
155.0,C42036
199.0,C42037
179.0,C42038
114.0,C42039
245.0,C42040
345.0,C42041
144.0,C42042
254.0,C42043
196.0,C42044
216.0,C42045
178.0,C42046
138.0,C42047
189.0,C42048
50.0,C42049
401.0,C42050
475.0,C42051
127.0,C42052
293.0,C42053
166.0,C42054
248.0,C42055
313.0,C42056
166.0,C42057
165.0,C42058
293.0,C42059
95.0,C42060
169.0,C42061
150.0,C42062
230.0,C42063
59.0,C42064
314.0,C42065
207.0,C42066
440.0,C42067
232.0,C42068
125.0,C42069
