Thomas M. Tunney,prec_id
207.0,C44001
189.0,C44002
281.0,C44003
278.0,C44004
247.0,C44005
207.0,C44006
261.0,C44007
93.0,C44008
194.0,C44009
150.0,C44010
212.0,C44011
201.0,C44012
151.0,C44013
199.0,C44014
290.0,C44015
222.0,C44016
249.0,C44017
167.0,C44018
112.0,C44019
214.0,C44020
230.0,C44021
277.0,C44022
203.0,C44023
151.0,C44024
228.0,C44025
194.0,C44026
246.0,C44027
153.0,C44028
254.0,C44029
187.0,C44030
246.0,C44031
173.0,C44032
266.0,C44033
136.0,C44034
192.0,C44035
182.0,C44036
280.0,C44037
215.0,C44038
224.0,C44039
224.0,C44040
270.0,C44041
307.0,C44042
278.0,C44043
272.0,C44044
267.0,C44045
167.0,C44046
333.0,C44047
184.0,C44048
335.0,C44049
178.0,C44050
153.0,C44051
