Befekadu T. Retta,Mary Anne ''Molly'' Phelan,Michael Carroll,Don Nowotny,James Cappleman,Diane Shapiro,Andy W. Lam,Emily Stewart,Marc Kaplan,Caitlin Mcintyre,Scott Baskin,prec_id
3.0,88.0,59.0,103.0,71.0,25.0,6.0,64.0,12.0,2.0,51.0,C46001
5.0,56.0,8.0,31.0,47.0,1.0,6.0,105.0,18.0,1.0,3.0,C46002
41.0,46.0,9.0,32.0,32.0,11.0,2.0,83.0,16.0,3.0,24.0,C46003
8.0,26.0,44.0,41.0,128.0,9.0,6.0,29.0,9.0,2.0,2.0,C46004
3.0,65.0,12.0,21.0,31.0,3.0,0.0,35.0,8.0,8.0,10.0,C46005
33.0,66.0,36.0,26.0,91.0,8.0,14.0,28.0,35.0,1.0,8.0,C46006
4.0,39.0,46.0,21.0,24.0,1.0,0.0,25.0,5.0,9.0,20.0,C46007
43.0,29.0,92.0,28.0,97.0,13.0,2.0,31.0,35.0,0.0,3.0,C46008
6.0,69.0,32.0,28.0,98.0,6.0,4.0,26.0,8.0,2.0,13.0,C46009
4.0,57.0,34.0,25.0,60.0,9.0,3.0,29.0,4.0,4.0,13.0,C46010
14.0,56.0,39.0,26.0,71.0,10.0,6.0,37.0,16.0,4.0,36.0,C46011
3.0,80.0,47.0,12.0,119.0,3.0,0.0,27.0,96.0,0.0,3.0,C46012
9.0,63.0,14.0,26.0,37.0,11.0,10.0,46.0,14.0,6.0,37.0,C46013
4.0,56.0,7.0,35.0,40.0,6.0,13.0,54.0,13.0,1.0,4.0,C46014
8.0,79.0,31.0,33.0,68.0,25.0,2.0,40.0,9.0,7.0,28.0,C46015
5.0,74.0,22.0,28.0,96.0,8.0,1.0,29.0,39.0,0.0,5.0,C46016
7.0,94.0,18.0,63.0,54.0,19.0,4.0,79.0,7.0,2.0,43.0,C46017
10.0,65.0,5.0,64.0,27.0,16.0,2.0,61.0,12.0,6.0,31.0,C46018
11.0,84.0,11.0,41.0,66.0,6.0,9.0,58.0,27.0,1.0,9.0,C46019
30.0,46.0,15.0,12.0,52.0,1.0,6.0,18.0,51.0,2.0,15.0,C46020
4.0,39.0,6.0,19.0,28.0,0.0,2.0,19.0,13.0,0.0,1.0,C46021
9.0,22.0,21.0,13.0,35.0,10.0,1.0,97.0,112.0,1.0,5.0,C46022
49.0,18.0,16.0,9.0,15.0,5.0,2.0,72.0,46.0,1.0,11.0,C46023
5.0,55.0,6.0,28.0,31.0,7.0,4.0,42.0,7.0,3.0,12.0,C46024
5.0,82.0,46.0,20.0,94.0,15.0,2.0,26.0,67.0,4.0,29.0,C46025
13.0,50.0,37.0,39.0,81.0,6.0,6.0,32.0,47.0,0.0,6.0,C46026
7.0,95.0,52.0,29.0,90.0,11.0,8.0,36.0,13.0,7.0,19.0,C46027
3.0,58.0,29.0,39.0,54.0,25.0,4.0,44.0,9.0,17.0,27.0,C46028
2.0,72.0,9.0,38.0,29.0,15.0,2.0,56.0,4.0,4.0,23.0,C46029
5.0,50.0,63.0,49.0,32.0,16.0,3.0,53.0,10.0,11.0,20.0,C46030
5.0,63.0,7.0,99.0,39.0,7.0,1.0,60.0,5.0,2.0,46.0,C46031
14.0,50.0,21.0,12.0,46.0,11.0,0.0,22.0,95.0,0.0,4.0,C46032
7.0,57.0,16.0,88.0,67.0,12.0,4.0,31.0,13.0,3.0,36.0,C46033
49.0,36.0,14.0,26.0,43.0,7.0,3.0,52.0,12.0,2.0,20.0,C46034
4.0,104.0,42.0,35.0,153.0,12.0,3.0,34.0,35.0,0.0,6.0,C46035
4.0,75.0,13.0,31.0,41.0,14.0,0.0,43.0,9.0,7.0,32.0,C46036
6.0,51.0,11.0,21.0,24.0,12.0,4.0,53.0,9.0,6.0,27.0,C46037
13.0,30.0,38.0,9.0,66.0,6.0,3.0,20.0,113.0,0.0,4.0,C46038
1.0,93.0,38.0,52.0,60.0,22.0,0.0,52.0,2.0,0.0,31.0,C46039
33.0,26.0,11.0,31.0,31.0,17.0,17.0,11.0,36.0,1.0,4.0,C46040
41.0,30.0,35.0,20.0,47.0,5.0,10.0,22.0,96.0,0.0,11.0,C46041
12.0,63.0,25.0,38.0,61.0,5.0,1.0,37.0,69.0,2.0,8.0,C46042
4.0,69.0,17.0,83.0,54.0,8.0,1.0,53.0,11.0,4.0,25.0,C46043
40.0,42.0,11.0,8.0,31.0,7.0,2.0,66.0,10.0,4.0,11.0,C46044
6.0,64.0,41.0,35.0,63.0,8.0,2.0,53.0,4.0,0.0,40.0,C46045
9.0,73.0,34.0,24.0,78.0,0.0,1.0,34.0,39.0,2.0,4.0,C46046
6.0,22.0,11.0,11.0,30.0,7.0,5.0,7.0,19.0,2.0,5.0,C46047
