Harold ''Noonie'' Ward,Anthony A. Beale,Eddie M. Reed,Sandra J. Walters,prec_id
35.0,163.0,46.0,37.0,C09001
25.0,136.0,34.0,31.0,C09002
51.0,28.0,1.0,3.0,C09003
43.0,124.0,8.0,45.0,C09004
16.0,139.0,74.0,39.0,C09005
49.0,142.0,19.0,47.0,C09006
32.0,125.0,13.0,20.0,C09007
58.0,139.0,21.0,27.0,C09008
50.0,180.0,20.0,59.0,C09009
32.0,126.0,13.0,36.0,C09010
39.0,83.0,19.0,30.0,C09011
21.0,138.0,10.0,39.0,C09012
51.0,163.0,6.0,45.0,C09013
44.0,173.0,35.0,58.0,C09014
70.0,96.0,7.0,8.0,C09015
35.0,93.0,10.0,24.0,C09016
31.0,123.0,14.0,24.0,C09017
44.0,136.0,9.0,52.0,C09018
52.0,121.0,20.0,42.0,C09019
30.0,167.0,14.0,38.0,C09020
31.0,136.0,10.0,34.0,C09021
34.0,183.0,15.0,43.0,C09022
34.0,88.0,8.0,32.0,C09023
58.0,33.0,2.0,6.0,C09024
20.0,110.0,7.0,50.0,C09025
55.0,62.0,6.0,9.0,C09026
22.0,123.0,15.0,45.0,C09027
19.0,82.0,6.0,10.0,C09028
25.0,100.0,35.0,27.0,C09029
58.0,139.0,13.0,37.0,C09030
39.0,100.0,6.0,45.0,C09031
31.0,140.0,27.0,23.0,C09032
81.0,79.0,4.0,6.0,C09033
26.0,117.0,13.0,33.0,C09034
23.0,205.0,13.0,31.0,C09035
62.0,146.0,18.0,44.0,C09036
26.0,127.0,9.0,46.0,C09037
31.0,146.0,7.0,35.0,C09038
61.0,155.0,6.0,53.0,C09039
26.0,158.0,45.0,36.0,C09040
44.0,173.0,8.0,20.0,C09041
51.0,22.0,3.0,4.0,C09042
20.0,61.0,4.0,41.0,C09043
36.0,68.0,7.0,17.0,C09044
30.0,110.0,11.0,47.0,C09045
22.0,97.0,20.0,50.0,C09046
38.0,151.0,18.0,54.0,C09047
39.0,162.0,21.0,55.0,C09048
31.0,71.0,16.0,25.0,C09049
42.0,143.0,9.0,46.0,C09050
18.0,82.0,12.0,31.0,C09051
51.0,158.0,17.0,31.0,C09052
23.0,70.0,4.0,25.0,C09053
