Proco ''Joe'' Moreno,Anne Shaw,Andrew Hamilton,Ronda Locke,prec_id
104,46,4,33,C01001
83,52,15,30,C02001
80,56,3,69,C03001
71,44,6,104,C04001
85,13,2,66,C05001
103,60,13,31,C06001
77,45,3,28,C07001
149,32,7,25,C08001
136,39,5,16,C09001
89,37,7,52,C10001
66,47,5,59,C11001
106,45,20,47,C12001
49,31,0,19,C13001
131,32,15,39,C14001
86,71,12,20,C15001
107,54,5,27,C16001
102,64,7,25,C17001
99,60,13,47,C18001
150,85,10,47,C19001
83,50,8,34,C20001
77,33,8,53,C21001
79,37,4,8,C22001
148,73,6,67,C23001
110,32,2,16,C24001
84,43,6,15,C25001
97,32,7,14,C26001
91,41,8,26,C27001
105,11,3,6,C28001
115,56,6,41,C29001
129,75,12,30,C30001
148,39,4,17,C31001
94,36,15,49,C32001
105,50,6,70,C33001
85,56,3,29,C34001
87,60,9,59,C35001
52,48,5,86,C36001
77,69,3,49,C37001
129,35,8,42,C38001
70,37,3,64,C39001
119,58,11,30,C40001
55,51,11,34,C41001
30,15,2,9,C42001
87,51,4,24,C43001
76,36,4,24,C44001
