Adolfo Mondragon,Raymond A. Lopez,Rafael Yanez,Eddie L. Daniels,"Otis Davis, Jr.",Raul O. Reyes,prec_id
12,110,85,1,2,13,C01015
1,56,3,34,35,8,C02015
4,88,3,23,30,4,C03015
19,125,53,1,1,22,C04015
12,42,103,2,2,22,C05015
30,122,52,3,0,12,C06015
3,86,10,29,41,11,C07015
10,163,31,3,0,10,C08015
16,187,47,0,0,17,C09015
60,113,43,3,4,16,C10015
49,110,55,0,3,12,C11015
13,149,73,1,0,16,C12015
5,46,99,0,4,23,C13015
7,34,71,1,4,25,C14015
3,42,84,1,8,20,C15015
5,144,37,4,5,17,C16015
6,68,16,37,52,9,C17015
3,82,8,20,38,5,C18015
5,64,81,3,25,28,C19015
7,55,12,39,47,2,C20015
4,72,8,27,34,11,C21015
2,61,7,30,67,3,C22015
2,85,18,13,36,14,C23015
2,64,8,34,24,4,C24015
