Glenda Franklin,David H. Moore,James E. Dukes,prec_id
55,131,21,C01017
72,116,9,C02017
74,111,26,C03017
116,138,16,C04017
82,107,14,C05017
64,71,25,C06017
53,46,25,C07017
81,72,36,C08017
74,138,7,C09017
112,126,7,C10017
51,90,47,C11017
67,90,31,C12017
59,91,38,C13017
72,92,28,C14017
77,129,15,C15017
52,74,22,C16017
84,64,35,C17017
90,152,17,C18017
49,54,30,C19017
124,152,14,C20017
100,215,13,C21017
66,135,9,C22017
43,77,33,C23017
152,118,12,C24017
51,71,18,C25017
133,118,20,C26017
91,103,12,C27017
79,84,27,C28017
94,132,10,C29017
44,100,20,C30017
39,81,23,C31017
39,87,49,C32017
47,79,28,C33017
66,85,21,C34017
60,87,51,C35017
54,189,13,C36017
54,111,15,C37017
110,111,24,C38017
70,158,6,C39017
61,142,20,C40017
103,140,22,C41017
