"Willie Ray, Jr.",Andre Smith,Willie B. Cochran,Kevin Bailey,"Ernest Radcliffe, Jr.",prec_id
14,13,84,41,23,C01020
11,15,37,32,4,C02020
6,23,96,34,9,C03020
9,15,29,26,3,C04020
29,15,113,34,23,C05020
11,5,44,25,6,C06020
11,50,56,39,7,C07020
17,19,143,30,18,C08020
45,13,159,30,25,C09020
12,30,86,19,13,C10020
17,66,99,59,8,C11020
11,39,44,20,2,C12020
36,25,114,46,6,C13020
32,23,77,23,9,C14020
17,17,50,39,7,C15020
36,29,142,30,13,C16020
12,23,34,51,4,C17020
22,14,71,34,25,C18020
14,55,94,40,13,C19020
18,20,44,31,1,C20020
13,35,59,47,1,C21020
25,20,161,63,19,C22020
17,49,133,35,7,C23020
19,32,99,29,28,C24020
10,21,85,68,2,C25020
19,27,117,47,19,C26020
16,12,60,42,5,C27020
21,50,55,29,7,C28020
25,27,167,57,5,C29020
8,18,52,20,7,C30020
31,57,92,26,9,C31020
19,35,94,58,3,C32020
11,24,66,19,10,C33020
8,37,136,44,27,C34020
15,51,48,13,7,C35020
5,12,40,20,1,C36020
6,11,41,15,4,C37020
17,8,24,35,2,C38020
7,3,4,15,8,C39020
