Frank M. Bass,Regina D. Lewis,Wallace E. Johnson,Sherita Ann Harris,Roger L. Washington,Vetress Boyce,Ladarius R. Curtis,Darren Tillis,Larry G. Nelson,"Michael Scott, Jr.",prec_id
48,31,12,1,1,24,3,12,5,60,C01024
16,9,11,12,1,37,6,38,6,52,C02024
13,8,15,8,1,21,11,32,1,68,C03024
9,11,7,7,2,32,5,27,1,56,C04024
8,2,41,4,1,25,0,25,1,25,C05024
22,17,17,6,4,31,3,27,2,74,C06024
10,6,1,10,1,7,7,16,4,36,C07024
12,22,11,3,2,35,4,14,1,36,C08024
16,12,9,12,6,35,5,30,1,54,C09024
10,3,6,12,1,15,1,13,3,27,C10024
20,30,10,10,9,20,3,60,2,41,C11024
10,8,6,9,11,19,2,19,5,31,C12024
7,11,8,7,3,30,5,14,2,37,C13024
21,10,11,15,1,45,6,15,2,56,C14024
14,18,8,5,1,35,2,17,6,16,C15024
27,11,22,26,8,22,8,16,2,29,C16024
25,8,4,6,5,14,2,38,2,42,C17024
25,24,14,16,0,38,9,21,2,73,C18024
24,21,8,8,3,14,14,29,3,82,C19024
21,23,4,8,12,22,9,35,2,44,C20024
3,4,15,4,1,37,1,17,1,37,C21024
18,19,12,7,12,53,4,43,9,71,C22024
11,8,8,39,1,16,7,16,1,62,C23024
10,15,14,7,4,78,6,30,3,63,C24024
16,21,7,5,4,25,4,32,14,56,C25024
15,13,47,9,3,50,9,38,1,109,C26024
17,13,12,7,4,32,5,38,0,76,C27024
7,29,7,4,1,32,4,33,3,41,C28024
51,11,7,5,2,9,3,15,4,51,C29024
3,6,7,4,4,21,2,10,2,51,C30024
40,8,10,10,2,34,4,25,1,64,C31024
13,10,2,3,4,8,6,43,2,27,C32024
7,19,1,7,2,10,3,17,3,35,C33024
9,15,9,6,2,51,7,27,4,48,C34024
8,6,10,9,5,70,2,37,5,58,C35024
96,12,7,8,5,17,4,31,2,69,C36024
22,7,5,5,0,9,0,9,1,48,C37024
15,5,15,11,4,11,7,16,5,89,C38024
33,41,14,25,4,18,8,16,7,80,C39024
6,9,29,10,2,34,4,12,3,71,C40024
14,19,20,12,1,15,4,13,5,55,C41024
