Gabe Beukinga,"Walter Burnett, Jr.",prec_id
53,89,C01027
68,184,C02027
30,85,C03027
31,77,C04027
40,113,C05027
58,108,C06027
92,122,C07027
31,127,C08027
53,41,C09027
41,218,C10027
43,93,C11027
52,57,C12027
59,265,C13027
17,87,C14027
30,105,C15027
70,80,C16027
42,159,C17027
34,137,C18027
38,103,C19027
26,107,C20027
73,80,C21027
18,110,C22027
24,148,C23027
36,105,C24027
43,127,C25027
45,155,C26027
32,160,C27027
29,84,C28027
37,109,C29027
21,102,C30027
38,121,C31027
31,124,C32027
55,100,C33027
31,174,C34027
59,100,C35027
33,103,C36027
56,195,C37027
74,257,C38027
41,128,C39027
62,161,C40027
55,163,C41027
38,100,C42027
55,99,C43027
21,144,C44027
109,89,C45027
34,95,C46027
43,157,C47027
49,186,C48027
20,107,C49027
31,144,C50027
