Jason C. Ervin,prec_id
106,C01028
122,C02028
107,C03028
106,C04028
111,C05028
104,C06028
142,C07028
78,C08028
156,C09028
150,C10028
191,C11028
168,C12028
172,C13028
175,C14028
65,C15028
88,C16028
135,C17028
137,C18028
116,C19028
136,C20028
128,C21028
119,C22028
172,C23028
125,C24028
195,C25028
165,C26028
135,C27028
158,C28028
65,C29028
25,C30028
214,C31028
150,C32028
178,C33028
211,C34028
163,C35028
107,C36028
196,C37028
92,C38028
103,C39028
179,C40028
126,C41028
145,C42028
172,C43028
95,C44028
96,C45028
199,C46028
