Tim Meegan,Deborah L. Mell,Annisa Wanat,prec_id
109,120,38,C01033
126,161,47,C02033
122,106,74,C03033
90,151,33,C04033
58,125,24,C05033
57,167,17,C06033
102,124,72,C07033
185,162,118,C08033
73,185,31,C09033
77,204,28,C10033
110,113,52,C11033
71,192,26,C12033
59,162,26,C13033
41,58,13,C14033
141,137,50,C15033
126,256,26,C16033
129,133,48,C17033
127,113,60,C18033
63,127,48,C19033
142,102,69,C20033
125,131,29,C21033
71,256,23,C22033
117,133,62,C23033
138,227,118,C24033
100,172,56,C25033
54,101,35,C26033
98,84,32,C27033
68,101,34,C28033
