Carrie M. Austin,Henry Moses,Shirley J. White,Charles R. Thomas Sr.,prec_id
214,27,52,9,C01034
147,33,51,10,C02034
162,23,38,28,C03034
101,49,41,7,C04034
150,34,28,15,C05034
209,38,38,25,C06034
218,26,37,11,C07034
117,26,34,7,C08034
120,20,31,20,C09034
160,25,52,11,C10034
100,21,63,12,C11034
158,65,45,11,C12034
122,18,103,13,C13034
107,33,34,15,C14034
90,21,46,14,C15034
106,22,40,22,C16034
174,8,108,8,C17034
105,38,29,12,C18034
130,9,93,6,C19034
202,50,51,19,C20034
251,21,60,11,C21034
158,49,46,13,C22034
129,13,57,13,C23034
124,51,23,10,C24034
191,22,67,17,C25034
176,30,45,26,C26034
99,68,32,12,C27034
112,17,22,5,C28034
107,20,56,12,C29034
170,58,37,18,C30034
105,9,47,16,C31034
125,15,91,6,C32034
128,30,28,21,C33034
173,30,62,7,C34034
124,30,91,11,C35034
154,35,49,17,C36034
87,17,25,21,C37034
94,16,16,19,C38034
113,38,19,10,C39034
150,22,46,44,C40034
96,7,70,6,C41034
165,30,57,17,C42034
163,20,60,9,C43034
157,13,59,22,C44034
172,39,47,5,C45034
109,17,45,5,C46034
108,3,103,7,C47034
204,21,60,11,C48034
204,18,64,20,C49034
126,12,49,22,C50034
220,12,23,52,C51034
159,21,31,5,C52034
65,10,50,4,C53034
