Jerry Paszek,Tom Caravette,Heather Sattler,Nicholas Sposato,Michael C. Duda,Carmen Hernandez,Belinda Cadiz,prec_id
26,31,97,46,4,11,20,C01038
8,6,9,365,21,0,0,C02038
23,8,41,134,17,10,10,C03038
22,4,21,224,18,11,1,C04038
22,4,11,235,7,7,2,C05038
18,5,10,190,20,15,2,C06038
19,5,14,192,78,3,5,C07038
61,14,21,139,9,10,1,C08038
26,8,19,228,40,6,3,C09038
21,2,27,138,11,15,5,C10038
37,34,57,73,7,10,6,C11038
16,6,18,265,10,4,1,C12038
13,13,18,234,14,11,8,C13038
28,52,41,108,11,6,14,C14038
34,25,56,68,14,24,8,C15038
27,4,22,195,18,11,2,C16038
18,5,16,259,30,5,5,C17038
30,24,89,100,7,6,21,C18038
30,24,76,95,21,14,8,C19038
17,2,17,217,22,4,4,C20038
24,29,39,82,18,20,9,C21038
25,23,57,95,11,10,21,C22038
44,18,68,116,10,24,12,C23038
13,6,13,213,106,9,4,C24038
32,29,48,61,11,3,22,C25038
31,21,68,96,21,16,9,C26038
24,3,10,214,26,7,3,C27038
24,4,31,258,22,1,9,C28038
22,4,17,175,28,6,0,C29038
29,0,8,208,32,8,8,C30038
24,26,118,95,4,7,9,C31038
32,13,64,85,10,6,11,C32038
31,37,50,78,11,9,7,C33038
44,16,50,74,4,30,6,C34038
72,13,50,85,5,28,2,C35038
20,43,66,63,7,14,6,C36038
53,16,76,84,16,28,6,C37038
54,8,25,126,24,12,1,C38038
44,22,58,132,11,19,7,C39038
45,41,64,82,3,13,11,C40038
22,14,149,65,4,9,1,C41038
