Margaret Laurino,Robert Murphy,Joseph Laiacona,prec_id
114,168,4,C01039
244,76,18,C02039
128,97,16,C03039
148,136,2,C04039
138,138,6,C05039
132,94,19,C06039
123,116,4,C07039
200,100,6,C08039
166,77,9,C09039
67,55,9,C10039
140,96,10,C11039
140,119,18,C12039
110,101,8,C13039
115,74,5,C14039
190,133,3,C15039
111,51,8,C16039
152,140,7,C17039
106,144,3,C18039
143,109,14,C19039
197,109,17,C20039
156,71,11,C21039
69,91,9,C22039
180,100,13,C23039
224,147,17,C24039
113,45,9,C25039
174,95,10,C26039
16,44,4,C27039
128,128,47,C28039
62,41,6,C29039
110,176,13,C30039
124,74,10,C31039
135,87,11,C32039
152,89,15,C33039
146,78,22,C34039
85,196,7,C35039
76,23,6,C36039
136,182,6,C37039
98,78,2,C38039
71,98,6,C39039
159,77,1,C40039
150,193,2,C41039
142,170,6,C42039
139,165,4,C43039
110,123,7,C44039
162,111,16,C45039
