Tracey Y Bey,William D. Burns,Norman H Bolden,prec_id
73,133,127,C01004
67,145,34,C02004
86,149,16,C03004
94,178,72,C04004
55,123,140,C05004
91,225,77,C06004
75,159,126,C07004
98,178,77,C08004
102,238,113,C09004
83,179,73,C10004
71,163,50,C11004
80,152,54,C12004
47,62,14,C13004
73,184,39,C14004
97,196,58,C15004
42,134,36,C16004
73,133,31,C17004
83,135,81,C18004
76,143,37,C19004
72,163,31,C20004
77,122,16,C21004
46,186,84,C22004
72,201,83,C23004
59,161,36,C24004
68,131,18,C25004
119,168,31,C26004
81,162,58,C27004
79,207,32,C28004
82,106,53,C29004
71,197,65,C30004
31,263,82,C31004
62,163,50,C32004
113,164,48,C33004
59,119,85,C34004
79,224,78,C35004
89,196,37,C36004
64,171,35,C37004
73,240,37,C38004
