John Garrido,John S. Arena,Michelle R. Baert,Michael S. Diaz,prec_id
31,145,25,4,C01045
34,126,34,1,C02045
53,134,30,10,C03045
105,201,22,10,C04045
92,171,41,4,C05045
132,175,49,2,C06045
89,239,55,13,C07045
64,155,31,10,C08045
59,163,42,5,C09045
87,172,27,4,C10045
31,145,13,1,C11045
75,149,31,8,C12045
90,189,15,3,C13045
118,166,48,4,C14045
149,200,75,2,C15045
88,119,50,4,C16045
88,184,31,7,C17045
116,124,51,6,C18045
44,90,23,3,C19045
61,96,17,9,C20045
132,119,41,6,C21045
121,114,30,6,C22045
125,134,38,2,C23045
148,89,25,1,C24045
102,85,30,0,C25045
70,64,32,0,C26045
119,97,45,4,C27045
99,111,24,3,C28045
95,79,21,6,C29045
59,135,47,6,C30045
91,109,48,3,C31045
92,112,41,2,C32045
68,77,26,4,C33045
168,92,34,4,C34045
122,169,45,8,C35045
141,161,35,3,C36045
110,122,45,3,C37045
123,82,36,7,C38045
127,95,53,3,C39045
175,80,43,3,C40045
215,56,36,3,C41045
237,75,24,3,C42045
201,101,45,0,C43045
200,83,36,1,C44045
116,77,26,2,C45045
85,79,33,4,C46045
112,94,32,3,C47045
105,80,45,4,C48045
