Harry Osterman,prec_id
189,C01048
111,C02048
209,C03048
188,C04048
169,C05048
223,C06048
193,C07048
145,C08048
176,C09048
276,C10048
204,C11048
241,C12048
313,C13048
150,C14048
147,C15048
201,C16048
234,C17048
203,C18048
164,C19048
245,C20048
249,C21048
267,C22048
315,C23048
221,C24048
232,C25048
108,C26048
172,C27048
282,C28048
195,C29048
207,C30048
250,C31048
174,C32048
195,C33048
207,C34048
160,C35048
180,C36048
196,C37048
280,C38048
199,C39048
188,C40048
209,C41048
227,C42048
226,C43048
221,C44048
145,C45048
170,C46048
