Roderick T. Sawyer,Richard A. Wooten,Brian T. Garner,prec_id
178,90,47,C01006
153,79,49,C02006
146,86,60,C03006
117,49,16,C04006
105,32,30,C05006
170,58,41,C06006
120,33,83,C07006
150,108,23,C08006
136,44,22,C09006
76,36,18,C10006
151,41,29,C11006
90,34,21,C12006
100,95,18,C13006
137,74,45,C14006
80,93,18,C15006
166,95,40,C16006
115,38,19,C17006
117,51,27,C18006
135,67,33,C19006
87,22,16,C20006
81,31,34,C21006
105,19,46,C22006
86,28,20,C23006
76,36,21,C24006
104,17,15,C25006
95,20,31,C26006
97,18,19,C27006
67,32,32,C28006
163,78,79,C29006
97,52,40,C30006
133,98,46,C31006
177,35,39,C32006
156,70,39,C33006
129,70,66,C34006
143,72,44,C35006
153,74,54,C36006
164,74,88,C37006
149,65,96,C38006
140,60,32,C39006
119,47,58,C40006
163,64,22,C41006
124,64,56,C42006
123,76,36,C43006
143,107,35,C44006
119,92,62,C45006
108,70,39,C46006
99,54,25,C47006
148,52,40,C48006
