prec_id,amer_indian,asian,black,hispanic,other,polyracial,white
alamance_03C,2,19,32,16,51,11,59
alamance_03N,3,27,34,37,54,12,70
alamance_03N2,0,0,2,2,7,0,20
alamance_03S,8,42,45,64,79,16,67
alamance_03W,8,15,39,26,46,12,61
alamance_06E,8,9,42,35,33,10,55
alamance_06N,8,6,51,48,42,11,50
alamance_06S,4,19,40,47,50,11,59
alamance_06W,2,11,31,40,24,2,49
alamance_08N,6,10,34,41,43,8,60
alamance_08S,2,4,23,20,27,5,51
alamance_09N,2,6,38,25,35,8,55
alamance_09S,17,8,40,55,60,15,67
alamance_1,5,2,32,28,31,8,59
alamance_103,4,12,30,37,43,8,63
alamance_10N,7,11,40,35,54,10,62
alamance_10S,17,30,53,67,86,23,73
alamance_11,6,4,46,35,46,15,58
alamance_1210,7,13,38,42,44,10,55
alamance_124,4,9,37,24,31,7,61
alamance_125,4,14,35,38,39,9,56
alamance_126,1,5,27,18,33,6,56
alamance_127,11,16,50,59,57,17,52
alamance_128,2,9,48,46,44,15,59
alamance_129,2,17,26,22,28,4,57
alamance_12E,7,7,40,57,38,9,50
alamance_12N,10,7,53,70,49,15,54
alamance_12S,3,6,42,44,27,15,52
alamance_12W,5,8,33,26,45,12,59
alamance_13,4,11,44,51,45,12,58
alamance_2,10,5,23,15,33,3,61
alamance_35,9,16,43,47,57,21,70
alamance_4,8,5,42,15,37,14,67
alamance_5,4,1,25,13,32,2,58
alamance_63,4,9,44,58,52,10,51
alamance_64,7,20,37,50,57,14,65
alamance_7,9,8,28,32,32,9,63
alexander_B1,2,20,10,11,28,2,68
alexander_B2,1,12,19,22,39,6,71
alexander_E,3,3,23,4,16,1,61
alexander_G1G2,4,0,17,9,18,1,100
alexander_LRSL,3,5,19,8,14,1,104
alexander_M,1,9,23,23,21,2,55
alexander_S1S2,6,2,37,31,19,4,110
alexander_T1T4T5,6,23,69,36,47,8,165
alexander_T2T3,4,12,48,26,41,7,106
alexander_W,3,10,1,11,25,2,57
alleghany_03A,9,3,27,56,42,3,116
alleghany_06A,1,0,3,28,25,2,140
alleghany_1,1,0,6,10,15,2,54
alleghany_4,0,0,7,22,20,1,56
anson_ANS,1,2,34,2,27,4,56
anson_BURN,7,5,25,4,21,2,57
anson_GULL,1,2,41,3,21,2,48
anson_LILE,7,3,45,3,22,2,55
anson_MM,3,3,38,5,25,2,38
anson_PEAC,2,15,30,4,23,0,57
anson_POLK,1,6,32,1,25,2,50
anson_W1,5,8,45,10,35,3,52
anson_W2,1,0,46,6,28,0,49
anson_W3,5,13,48,7,36,4,57
anson_WS,1,1,23,5,15,0,40
ashe_10,0,0,0,3,5,0,31
ashe_11,2,0,12,21,26,0,51
ashe_12,1,2,0,2,7,0,45
ashe_13,0,3,3,5,16,1,52
ashe_14,3,3,5,13,23,2,57
ashe_15,3,0,2,7,8,0,49
ashe_16,0,3,8,14,33,0,59
ashe_17,0,1,2,1,7,1,48
ashe_18,1,0,0,0,1,0,35
ashe_2,3,1,0,10,11,0,53
ashe_20,3,7,13,31,37,1,60
ashe_3,0,0,0,3,4,0,44
ashe_4,0,0,0,1,8,0,47
ashe_6,1,1,0,2,7,0,42
ashe_7,0,0,0,1,8,0,45
ashe_8,0,0,0,1,3,0,33
ashe_9,3,4,20,23,36,3,53
avery_1,1,0,4,6,13,0,50
avery_10,1,0,1,1,10,0,47
avery_11,0,1,0,1,11,1,44
avery_12,0,0,0,0,1,0,35
avery_13,0,0,0,1,5,0,45
avery_14,2,1,4,9,10,2,51
avery_15,3,0,2,5,6,0,47
avery_16,1,0,0,9,20,1,50
avery_17,0,0,10,2,10,0,46
avery_18,1,0,0,1,4,0,42
avery_19,1,0,0,2,4,0,36
avery_2,6,9,25,26,42,6,62
avery_3,2,0,0,1,13,1,45
avery_4,0,0,0,0,0,0,32
avery_5,0,0,0,4,3,0,38
avery_6,0,1,3,3,7,2,44
avery_7,0,0,3,0,3,0,32
avery_8,1,0,0,1,4,1,33
avery_9,1,0,1,2,6,0,40
beaufort_AUROR,3,0,40,4,26,4,47
beaufort_BEADM,2,3,27,10,28,3,62
beaufort_BELHV,2,0,45,7,18,3,56
beaufort_BLCK,3,0,36,4,17,2,50
beaufort_CHOCO,5,3,50,33,55,7,66
beaufort_EDWAR,1,1,37,3,19,2,51
beaufort_GILEA,3,4,34,3,24,3,58
beaufort_HB,1,0,19,7,15,0,52
beaufort_NCRK,2,1,24,7,25,3,53
beaufort_OLDF,1,2,43,17,25,7,52
beaufort_PANTE,0,1,38,6,20,2,54
beaufort_PINET,0,1,19,1,15,0,52
beaufort_PSJW3,4,8,50,16,35,4,45
beaufort_RVRD,2,0,42,36,38,4,60
beaufort_SURBA,2,1,23,10,28,5,57
beaufort_TCRK,4,3,44,15,42,3,65
beaufort_WASH1,3,0,49,20,34,4,59
