prec_id,Becky Carney,election
mecklenburg_1,406,nc_house_of_representatives_district_102
mecklenburg_2,644,nc_house_of_representatives_district_102
mecklenburg_3,642,nc_house_of_representatives_district_102
mecklenburg_13,583,nc_house_of_representatives_district_102
mecklenburg_14,572,nc_house_of_representatives_district_102
mecklenburg_15,786,nc_house_of_representatives_district_102
mecklenburg_17,432,nc_house_of_representatives_district_102
mecklenburg_28,477,nc_house_of_representatives_district_102
mecklenburg_29,469,nc_house_of_representatives_district_102
mecklenburg_30,517,nc_house_of_representatives_district_102
mecklenburg_35,264,nc_house_of_representatives_district_102
mecklenburg_42,752,nc_house_of_representatives_district_102
mecklenburg_43,706,nc_house_of_representatives_district_102
mecklenburg_44,436,nc_house_of_representatives_district_102
mecklenburg_46,593,nc_house_of_representatives_district_102
mecklenburg_60,797,nc_house_of_representatives_district_102
mecklenburg_61,649,nc_house_of_representatives_district_102
mecklenburg_82,437,nc_house_of_representatives_district_102
mecklenburg_109,521,nc_house_of_representatives_district_102
mecklenburg_132,16,nc_house_of_representatives_district_102
mecklenburg_CURBSIDE,79,nc_house_of_representatives_district_102
