prec_id,Ric Killian,election
mecklenburg_69,948,nc_house_of_representatives_district_105
mecklenburg_87,399,nc_house_of_representatives_district_105
mecklenburg_88,631,nc_house_of_representatives_district_105
mecklenburg_90,536,nc_house_of_representatives_district_105
mecklenburg_91,1483,nc_house_of_representatives_district_105
mecklenburg_100,822,nc_house_of_representatives_district_105
mecklenburg_103,1145,nc_house_of_representatives_district_105
mecklenburg_112,787,nc_house_of_representatives_district_105
mecklenburg_113,1163,nc_house_of_representatives_district_105
mecklenburg_118,799,nc_house_of_representatives_district_105
mecklenburg_121,1436,nc_house_of_representatives_district_105
mecklenburg_131,678,nc_house_of_representatives_district_105
mecklenburg_137,1710,nc_house_of_representatives_district_105
mecklenburg_139.1,945,nc_house_of_representatives_district_105
mecklenburg_140,1454,nc_house_of_representatives_district_105
mecklenburg_144,1041,nc_house_of_representatives_district_105
mecklenburg_148,1942,nc_house_of_representatives_district_105
mecklenburg_226,916,nc_house_of_representatives_district_105
mecklenburg_227,1388,nc_house_of_representatives_district_105
mecklenburg_231,437,nc_house_of_representatives_district_105
mecklenburg_232,1444,nc_house_of_representatives_district_105
mecklenburg_CURBSIDE,15,nc_house_of_representatives_district_105
