prec_id,John Torbett,election
gaston_09,272,nc_house_of_representatives_district_108
gaston_10,500,nc_house_of_representatives_district_108
gaston_12,171,nc_house_of_representatives_district_108
gaston_13,465,nc_house_of_representatives_district_108
gaston_14,298,nc_house_of_representatives_district_108
gaston_18,1008,nc_house_of_representatives_district_108
gaston_23,574,nc_house_of_representatives_district_108
gaston_24,521,nc_house_of_representatives_district_108
gaston_25,387,nc_house_of_representatives_district_108
gaston_26,467,nc_house_of_representatives_district_108
gaston_27,499,nc_house_of_representatives_district_108
gaston_28,808,nc_house_of_representatives_district_108
gaston_29,190,nc_house_of_representatives_district_108
gaston_30,422,nc_house_of_representatives_district_108
gaston_32,516,nc_house_of_representatives_district_108
gaston_42,545,nc_house_of_representatives_district_108
gaston_43,705,nc_house_of_representatives_district_108
gaston_44,955,nc_house_of_representatives_district_108
gaston_45,425,nc_house_of_representatives_district_108
gaston_46,757,nc_house_of_representatives_district_108
