prec_id,William A. Current,election
gaston_01,234,nc_house_of_representatives_district_109
gaston_02,288,nc_house_of_representatives_district_109
gaston_03,183,nc_house_of_representatives_district_109
gaston_04,786,nc_house_of_representatives_district_109
gaston_05,171,nc_house_of_representatives_district_109
gaston_06,98,nc_house_of_representatives_district_109
gaston_07,28,nc_house_of_representatives_district_109
gaston_11,185,nc_house_of_representatives_district_109
gaston_15,1098,nc_house_of_representatives_district_109
gaston_16,792,nc_house_of_representatives_district_109
gaston_17,772,nc_house_of_representatives_district_109
gaston_19,786,nc_house_of_representatives_district_109
gaston_22,754,nc_house_of_representatives_district_109
gaston_27,386,nc_house_of_representatives_district_109
gaston_29,686,nc_house_of_representatives_district_109
gaston_31,773,nc_house_of_representatives_district_109
