prec_id,Van Braxton,Stephen LaRoque,election
greene_ARBA,155,171,nc_house_of_representatives_district_10
greene_BEAR,119,121,nc_house_of_representatives_district_10
greene_BULL,124,128,nc_house_of_representatives_district_10
greene_CAST,102,162,nc_house_of_representatives_district_10
greene_HOOK,114,156,nc_house_of_representatives_district_10
greene_MAUR,255,245,nc_house_of_representatives_district_10
greene_SH#1,189,169,nc_house_of_representatives_district_10
greene_SHIN,145,290,nc_house_of_representatives_district_10
greene_SUGG,138,171,nc_house_of_representatives_district_10
greene_WALS,206,179,nc_house_of_representatives_district_10
lenoir_C,458,456,nc_house_of_representatives_district_10
lenoir_FC,532,1326,nc_house_of_representatives_district_10
lenoir_I,216,444,nc_house_of_representatives_district_10
lenoir_K3,23,18,nc_house_of_representatives_district_10
lenoir_K4,715,663,nc_house_of_representatives_district_10
lenoir_K5,29,12,nc_house_of_representatives_district_10
lenoir_K6,6,24,nc_house_of_representatives_district_10
lenoir_MH,1009,805,nc_house_of_representatives_district_10
lenoir_N,320,742,nc_house_of_representatives_district_10
lenoir_PH1,81,192,nc_house_of_representatives_district_10
lenoir_PH2,183,297,nc_house_of_representatives_district_10
lenoir_SH,36,90,nc_house_of_representatives_district_10
lenoir_SW,112,281,nc_house_of_representatives_district_10
lenoir_T1,204,393,nc_house_of_representatives_district_10
lenoir_T2,134,287,nc_house_of_representatives_district_10
lenoir_V,322,290,nc_house_of_representatives_district_10
lenoir_W,149,358,nc_house_of_representatives_district_10
lenoir_CURBSIDE,41,15,nc_house_of_representatives_district_10
wayne_14,127,386,nc_house_of_representatives_district_10
wayne_15,165,408,nc_house_of_representatives_district_10
wayne_26,64,64,nc_house_of_representatives_district_10
wayne_28,259,407,nc_house_of_representatives_district_10
wayne_30,3,0,nc_house_of_representatives_district_10
wayne_UNIVERSAL,0,0,nc_house_of_representatives_district_10
