prec_id,W. David Guice,election
henderson_AR,472,nc_house_of_representatives_district_113
henderson_AT,1143,nc_house_of_representatives_district_113
henderson_CB,423,nc_house_of_representatives_district_113
henderson_EF,636,nc_house_of_representatives_district_113
henderson_ES,630,nc_house_of_representatives_district_113
henderson_FR,1369,nc_house_of_representatives_district_113
henderson_GR,824,nc_house_of_representatives_district_113
henderson_RR,283,nc_house_of_representatives_district_113
henderson_CURBSIDE,52,nc_house_of_representatives_district_113
polk_CG05,463,nc_house_of_representatives_district_113
polk_CL07,753,nc_house_of_representatives_district_113
polk_CL08,933,nc_house_of_representatives_district_113
polk_GC09,823,nc_house_of_representatives_district_113
polk_SA04,487,nc_house_of_representatives_district_113
polk_TR123,939,nc_house_of_representatives_district_113
polk_WO06,535,nc_house_of_representatives_district_113
transylvania_B1,563,nc_house_of_representatives_district_113
transylvania_B2,373,nc_house_of_representatives_district_113
transylvania_B3,652,nc_house_of_representatives_district_113
transylvania_B4,475,nc_house_of_representatives_district_113
transylvania_BD,870,nc_house_of_representatives_district_113
transylvania_BG,156,nc_house_of_representatives_district_113
transylvania_CC,845,nc_house_of_representatives_district_113
transylvania_CM,272,nc_house_of_representatives_district_113
transylvania_DR,945,nc_house_of_representatives_district_113
transylvania_EF,292,nc_house_of_representatives_district_113
transylvania_GL,151,nc_house_of_representatives_district_113
transylvania_LR,517,nc_house_of_representatives_district_113
transylvania_LT,268,nc_house_of_representatives_district_113
transylvania_PF,416,nc_house_of_representatives_district_113
transylvania_QB,189,nc_house_of_representatives_district_113
transylvania_RE,657,nc_house_of_representatives_district_113
transylvania_SW,171,nc_house_of_representatives_district_113
transylvania_WC,730,nc_house_of_representatives_district_113
