prec_id,Susan C. Fisher,John Carroll,election
buncombe_02.1,814,52,nc_house_of_representatives_district_114
buncombe_03.1,575,73,nc_house_of_representatives_district_114
buncombe_04.1,346,127,nc_house_of_representatives_district_114
buncombe_05.1,0,1,nc_house_of_representatives_district_114
buncombe_11.1,314,21,nc_house_of_representatives_district_114
buncombe_12.1,446,113,nc_house_of_representatives_district_114
buncombe_13.1,410,111,nc_house_of_representatives_district_114
buncombe_14.2,392,148,nc_house_of_representatives_district_114
buncombe_14.3,14,8,nc_house_of_representatives_district_114
buncombe_15.1,474,125,nc_house_of_representatives_district_114
buncombe_16.2,500,163,nc_house_of_representatives_district_114
buncombe_22.2,438,229,nc_house_of_representatives_district_114
buncombe_26.1,248,112,nc_house_of_representatives_district_114
buncombe_27.2,158,80,nc_house_of_representatives_district_114
buncombe_28.1,422,124,nc_house_of_representatives_district_114
buncombe_40.2,349,568,nc_house_of_representatives_district_114
buncombe_41.1,231,418,nc_house_of_representatives_district_114
buncombe_50.1,225,303,nc_house_of_representatives_district_114
buncombe_51.2,206,291,nc_house_of_representatives_district_114
buncombe_52.1,247,497,nc_house_of_representatives_district_114
buncombe_53.1,259,394,nc_house_of_representatives_district_114
buncombe_58.1,177,274,nc_house_of_representatives_district_114
buncombe_59.1,383,506,nc_house_of_representatives_district_114
buncombe_63.1,92,85,nc_house_of_representatives_district_114
buncombe_67.1,271,300,nc_house_of_representatives_district_114
buncombe_68.1,120,177,nc_house_of_representatives_district_114
buncombe_681,46,87,nc_house_of_representatives_district_114
buncombe_70.1,2,0,nc_house_of_representatives_district_114
buncombe_71.1,443,519,nc_house_of_representatives_district_114
buncombe_CURBSIDE,0,0,nc_house_of_representatives_district_114
