prec_id,Efton M. Sager,election
wayne_1,479,nc_house_of_representatives_district_11
wayne_2,530,nc_house_of_representatives_district_11
wayne_3,586,nc_house_of_representatives_district_11
wayne_4,758,nc_house_of_representatives_district_11
wayne_5,517,nc_house_of_representatives_district_11
wayne_6,269,nc_house_of_representatives_district_11
wayne_7,596,nc_house_of_representatives_district_11
wayne_8,522,nc_house_of_representatives_district_11
wayne_9,497,nc_house_of_representatives_district_11
wayne_10,66,nc_house_of_representatives_district_11
wayne_11,122,nc_house_of_representatives_district_11
wayne_12,296,nc_house_of_representatives_district_11
wayne_13,185,nc_house_of_representatives_district_11
wayne_14,169,nc_house_of_representatives_district_11
wayne_15,6,nc_house_of_representatives_district_11
wayne_16,384,nc_house_of_representatives_district_11
wayne_21,133,nc_house_of_representatives_district_11
wayne_22,206,nc_house_of_representatives_district_11
wayne_23,228,nc_house_of_representatives_district_11
wayne_24,719,nc_house_of_representatives_district_11
wayne_25,383,nc_house_of_representatives_district_11
wayne_27,15,nc_house_of_representatives_district_11
wayne_29,136,nc_house_of_representatives_district_11
wayne_UNIVERSAL,0,nc_house_of_representatives_district_11
