prec_id,Randy Hogsed,Roger West,election
cherokee_ANNW,173,604,nc_house_of_representatives_district_120
cherokee_ANSW,171,680,nc_house_of_representatives_district_120
cherokee_BELL,122,362,nc_house_of_representatives_district_120
cherokee_BRAS,92,302,nc_house_of_representatives_district_120
cherokee_CSON,92,255,nc_house_of_representatives_district_120
cherokee_GCRK,39,181,nc_house_of_representatives_district_120
cherokee_HANG,81,331,nc_house_of_representatives_district_120
cherokee_HIWA,260,602,nc_house_of_representatives_district_120
cherokee_HOTH,131,406,nc_house_of_representatives_district_120
cherokee_MARB,172,522,nc_house_of_representatives_district_120
cherokee_MURN,227,735,nc_house_of_representatives_district_120
cherokee_MURS,256,799,nc_house_of_representatives_district_120
cherokee_PCHT,219,869,nc_house_of_representatives_district_120
cherokee_RGER,197,501,nc_house_of_representatives_district_120
cherokee_TOPT,43,185,nc_house_of_representatives_district_120
cherokee_UNKA,69,172,nc_house_of_representatives_district_120
cherokee_CURBSIDE,0,0,nc_house_of_representatives_district_120
clay_BRAS,123,337,nc_house_of_representatives_district_120
clay_HAY1,202,466,nc_house_of_representatives_district_120
clay_HAY2,246,552,nc_house_of_representatives_district_120
clay_HAYC,85,170,nc_house_of_representatives_district_120
clay_HIAW,211,513,nc_house_of_representatives_district_120
clay_SHCR,202,492,nc_house_of_representatives_district_120
clay_SWEE,122,290,nc_house_of_representatives_district_120
clay_TUSQ,134,271,nc_house_of_representatives_district_120
clay_WARN,128,263,nc_house_of_representatives_district_120
graham_EAST,361,1081,nc_house_of_representatives_district_120
graham_STEC,151,463,nc_house_of_representatives_district_120
graham_TAPO,51,237,nc_house_of_representatives_district_120
graham_WEST,295,965,nc_house_of_representatives_district_120
macon_01,79,135,nc_house_of_representatives_district_120
macon_02,95,187,nc_house_of_representatives_district_120
macon_03,158,300,nc_house_of_representatives_district_120
macon_05,209,344,nc_house_of_representatives_district_120
macon_06,39,91,nc_house_of_representatives_district_120
macon_07,170,302,nc_house_of_representatives_district_120
macon_08,30,131,nc_house_of_representatives_district_120
macon_09,279,629,nc_house_of_representatives_district_120
macon_10,55,114,nc_house_of_representatives_district_120
macon_11,229,467,nc_house_of_representatives_district_120
macon_12,192,327,nc_house_of_representatives_district_120
macon_13,53,189,nc_house_of_representatives_district_120
macon_14,70,218,nc_house_of_representatives_district_120
