prec_id,Craig K. Hassler,Patricia (Pat) McElraft,election
carteret_ABCH,100,339,nc_house_of_representatives_district_13
carteret_ATLN,90,142,nc_house_of_representatives_district_13
carteret_BCRK,108,469,nc_house_of_representatives_district_13
carteret_BETT,26,97,nc_house_of_representatives_district_13
carteret_BFT1,204,158,nc_house_of_representatives_district_13
carteret_BFT2,257,429,nc_house_of_representatives_district_13
carteret_BOGU,111,473,nc_house_of_representatives_district_13
carteret_CCCP,95,432,nc_house_of_representatives_district_13
carteret_CDIS,42,53,nc_house_of_representatives_district_13
carteret_DAVI,53,87,nc_house_of_representatives_district_13
carteret_EMIS,207,669,nc_house_of_representatives_district_13
carteret_HAIS,112,313,nc_house_of_representatives_district_13
carteret_HARL,26,177,nc_house_of_representatives_district_13
carteret_IBSP,41,84,nc_house_of_representatives_district_13
carteret_MARS,67,97,nc_house_of_representatives_district_13
carteret_MCRK,29,173,nc_house_of_representatives_district_13
carteret_MERR,62,120,nc_house_of_representatives_district_13
carteret_MHD1,225,384,nc_house_of_representatives_district_13
carteret_MHD2,209,388,nc_house_of_representatives_district_13
carteret_MHD3,192,504,nc_house_of_representatives_district_13
carteret_MHD4,181,592,nc_house_of_representatives_district_13
carteret_NPT1,230,809,nc_house_of_representatives_district_13
carteret_NPT2,114,631,nc_house_of_representatives_district_13
carteret_NRIV,116,51,nc_house_of_representatives_district_13
carteret_OTST,117,416,nc_house_of_representatives_district_13
carteret_PELE,48,217,nc_house_of_representatives_district_13
carteret_PKNL,151,394,nc_house_of_representatives_district_13
carteret_SLVL,32,60,nc_house_of_representatives_district_13
carteret_SMYR,32,65,nc_house_of_representatives_district_13
carteret_STAC,14,56,nc_house_of_representatives_district_13
carteret_STEL,46,227,nc_house_of_representatives_district_13
carteret_WILD,153,539,nc_house_of_representatives_district_13
carteret_WILL,30,91,nc_house_of_representatives_district_13
carteret_WIRE,106,219,nc_house_of_representatives_district_13
jones_P01,114,131,nc_house_of_representatives_district_13
jones_P02,24,152,nc_house_of_representatives_district_13
jones_P03,43,189,nc_house_of_representatives_district_13
jones_P04,204,509,nc_house_of_representatives_district_13
jones_P05,299,279,nc_house_of_representatives_district_13
jones_P06,67,176,nc_house_of_representatives_district_13
jones_P07,194,320,nc_house_of_representatives_district_13
