prec_id,Franklin (F. D.) Rivenbark,Carolyn Justice,election
new hanover_H02,251,1361,nc_house_of_representatives_district_16
new hanover_H05,369,1199,nc_house_of_representatives_district_16
new hanover_H06,410,782,nc_house_of_representatives_district_16
new hanover_H08,638,1959,nc_house_of_representatives_district_16
new hanover_H09,706,2729,nc_house_of_representatives_district_16
new hanover_H10,599,724,nc_house_of_representatives_district_16
new hanover_H11,587,1402,nc_house_of_representatives_district_16
pender_NB01,382,461,nc_house_of_representatives_district_16
pender_SB02,607,774,nc_house_of_representatives_district_16
pender_CT03,86,42,nc_house_of_representatives_district_16
pender_CS04,201,275,nc_house_of_representatives_district_16
pender_CL05,437,231,nc_house_of_representatives_district_16
pender_GR06,518,495,nc_house_of_representatives_district_16
pender_MH07,27,144,nc_house_of_representatives_district_16
pender_UH08,326,81,nc_house_of_representatives_district_16
pender_LC09,250,442,nc_house_of_representatives_district_16
pender_PL10,78,151,nc_house_of_representatives_district_16
pender_CF11,274,783,nc_house_of_representatives_district_16
pender_SH12,132,739,nc_house_of_representatives_district_16
pender_SC13,330,959,nc_house_of_representatives_district_16
pender_UT14,294,1244,nc_house_of_representatives_district_16
pender_SP15,269,882,nc_house_of_representatives_district_16
pender_LU16,160,337,nc_house_of_representatives_district_16
pender_UU17,262,210,nc_house_of_representatives_district_16
pender_LT18,283,1028,nc_house_of_representatives_district_16
pender_MT19,297,1086,nc_house_of_representatives_district_16
pender_RP20,357,366,nc_house_of_representatives_district_16
pender_CURBSIDE,50,29,nc_house_of_representatives_district_16
