prec_id,James A. Knox,Frank Iler,election
brunswick_01,386,341,nc_house_of_representatives_district_17
brunswick_02,689,707,nc_house_of_representatives_district_17
brunswick_03,346,239,nc_house_of_representatives_district_17
brunswick_04A,909,1628,nc_house_of_representatives_district_17
brunswick_04B,498,932,nc_house_of_representatives_district_17
brunswick_04C,305,631,nc_house_of_representatives_district_17
brunswick_05,513,938,nc_house_of_representatives_district_17
brunswick_06,320,452,nc_house_of_representatives_district_17
brunswick_07,380,939,nc_house_of_representatives_district_17
brunswick_08,513,1322,nc_house_of_representatives_district_17
brunswick_09,141,506,nc_house_of_representatives_district_17
brunswick_10,902,2652,nc_house_of_representatives_district_17
brunswick_11,191,199,nc_house_of_representatives_district_17
brunswick_12,437,905,nc_house_of_representatives_district_17
brunswick_13,340,513,nc_house_of_representatives_district_17
brunswick_14,642,1530,nc_house_of_representatives_district_17
brunswick_15,658,1584,nc_house_of_representatives_district_17
brunswick_16,659,1676,nc_house_of_representatives_district_17
brunswick_17,22,2,nc_house_of_representatives_district_17
brunswick_19,585,1385,nc_house_of_representatives_district_17
brunswick_20,437,1121,nc_house_of_representatives_district_17
brunswick_21,463,1550,nc_house_of_representatives_district_17
brunswick_22,284,807,nc_house_of_representatives_district_17
brunswick_23,314,896,nc_house_of_representatives_district_17
brunswick_CURBSIDE,53,56,nc_house_of_representatives_district_17
