prec_id,Susi Hamilton,Beth Dawson,election
new hanover_CF01,743,771,nc_house_of_representatives_district_18
new hanover_CF02,401,779,nc_house_of_representatives_district_18
new hanover_CF05,385,658,nc_house_of_representatives_district_18
new hanover_CF06,402,736,nc_house_of_representatives_district_18
new hanover_H01,305,384,nc_house_of_representatives_district_18
new hanover_H04,559,885,nc_house_of_representatives_district_18
new hanover_W03,580,100,nc_house_of_representatives_district_18
new hanover_W08,365,259,nc_house_of_representatives_district_18
new hanover_W12,455,402,nc_house_of_representatives_district_18
new hanover_W13,299,154,nc_house_of_representatives_district_18
new hanover_W15,842,269,nc_house_of_representatives_district_18
new hanover_W18,276,341,nc_house_of_representatives_district_18
new hanover_W24,344,352,nc_house_of_representatives_district_18
new hanover_W25,956,234,nc_house_of_representatives_district_18
new hanover_W27,969,311,nc_house_of_representatives_district_18
new hanover_W28,490,442,nc_house_of_representatives_district_18
new hanover_W29,1155,94,nc_house_of_representatives_district_18
