prec_id,William Brisson,John Szoka,election
bladen_P10,175,71,nc_house_of_representatives_district_22
bladen_P15,287,230,nc_house_of_representatives_district_22
bladen_P201,173,156,nc_house_of_representatives_district_22
bladen_P202,299,200,nc_house_of_representatives_district_22
bladen_P25,268,132,nc_house_of_representatives_district_22
bladen_P30,168,27,nc_house_of_representatives_district_22
bladen_P35,109,54,nc_house_of_representatives_district_22
bladen_P40,226,147,nc_house_of_representatives_district_22
bladen_P45,97,95,nc_house_of_representatives_district_22
bladen_P501,432,109,nc_house_of_representatives_district_22
bladen_P502,183,71,nc_house_of_representatives_district_22
bladen_P55,174,99,nc_house_of_representatives_district_22
bladen_P60,316,123,nc_house_of_representatives_district_22
bladen_P65,70,123,nc_house_of_representatives_district_22
bladen_P70,93,49,nc_house_of_representatives_district_22
bladen_P75,258,93,nc_house_of_representatives_district_22
bladen_P80,170,152,nc_house_of_representatives_district_22
bladen_CURBSIDE,0,0,nc_house_of_representatives_district_22
cumberland_AL51,676,1075,nc_house_of_representatives_district_22
cumberland_G6B,207,311,nc_house_of_representatives_district_22
cumberland_G6C,384,436,nc_house_of_representatives_district_22
cumberland_G8B,322,357,nc_house_of_representatives_district_22
cumberland_G8A,17,23,nc_house_of_representatives_district_22
cumberland_G8D,255,350,nc_house_of_representatives_district_22
cumberland_G9B,832,990,nc_house_of_representatives_district_22
cumberland_G9A,5,9,nc_house_of_representatives_district_22
cumberland_G10B,250,249,nc_house_of_representatives_district_22
cumberland_G1B,65,57,nc_house_of_representatives_district_22
cumberland_SH77,335,525,nc_house_of_representatives_district_22
cumberland_G6A,376,827,nc_house_of_representatives_district_22
cumberland_G10C,311,686,nc_house_of_representatives_district_22
cumberland_G10A,403,858,nc_house_of_representatives_district_22
