prec_id,Joe Tolson,Garland Shepheard,election
edgecombe_0101,581,50,nc_house_of_representatives_district_23
edgecombe_0102,442,281,nc_house_of_representatives_district_23
edgecombe_0103,356,355,nc_house_of_representatives_district_23
edgecombe_0104,305,246,nc_house_of_representatives_district_23
edgecombe_0201,214,180,nc_house_of_representatives_district_23
edgecombe_0301,93,58,nc_house_of_representatives_district_23
edgecombe_0401,158,49,nc_house_of_representatives_district_23
edgecombe_0501,145,65,nc_house_of_representatives_district_23
edgecombe_0601,299,90,nc_house_of_representatives_district_23
edgecombe_0701,476,121,nc_house_of_representatives_district_23
edgecombe_0801,194,188,nc_house_of_representatives_district_23
edgecombe_0901,201,310,nc_house_of_representatives_district_23
edgecombe_1001,587,338,nc_house_of_representatives_district_23
edgecombe_1101,180,155,nc_house_of_representatives_district_23
wilson_PRBL,365,884,nc_house_of_representatives_district_23
wilson_PRCR,416,671,nc_house_of_representatives_district_23
wilson_PRGA,643,530,nc_house_of_representatives_district_23
wilson_PROL,591,1108,nc_house_of_representatives_district_23
wilson_PRSA,340,223,nc_house_of_representatives_district_23
wilson_PRSP,361,510,nc_house_of_representatives_district_23
wilson_PRST,368,296,nc_house_of_representatives_district_23
wilson_PRTA,1226,1658,nc_house_of_representatives_district_23
wilson_PRWI,544,265,nc_house_of_representatives_district_23
wilson_PRWJ,856,708,nc_house_of_representatives_district_23
wilson_CURBSIDE,11,7,nc_house_of_representatives_district_23
