prec_id,Brian Allen,"James H. (J.H.) Langdon, Jr.",election
johnston_PR01,109,380,nc_house_of_representatives_district_28
johnston_PR02,110,287,nc_house_of_representatives_district_28
johnston_PR03,145,707,nc_house_of_representatives_district_28
johnston_PR04,126,375,nc_house_of_representatives_district_28
johnston_PR07,208,840,nc_house_of_representatives_district_28
johnston_PR08,95,581,nc_house_of_representatives_district_28
johnston_PR12A,249,671,nc_house_of_representatives_district_28
johnston_PR12B,215,513,nc_house_of_representatives_district_28
johnston_PR13,141,594,nc_house_of_representatives_district_28
johnston_PR14,106,645,nc_house_of_representatives_district_28
johnston_PR15,177,619,nc_house_of_representatives_district_28
johnston_PR16,151,442,nc_house_of_representatives_district_28
johnston_PR17,45,316,nc_house_of_representatives_district_28
johnston_PR18,66,411,nc_house_of_representatives_district_28
johnston_PR22,21,69,nc_house_of_representatives_district_28
johnston_PR23A,178,727,nc_house_of_representatives_district_28
johnston_PR23B,204,636,nc_house_of_representatives_district_28
johnston_PR26,56,150,nc_house_of_representatives_district_28
johnston_PR28,93,315,nc_house_of_representatives_district_28
johnston_PR31A,198,407,nc_house_of_representatives_district_28
johnston_PR31B,328,819,nc_house_of_representatives_district_28
johnston_PR33,191,866,nc_house_of_representatives_district_28
sampson_AUTR,91,379,nc_house_of_representatives_district_28
sampson_CLEM,120,374,nc_house_of_representatives_district_28
sampson_HERR,58,272,nc_house_of_representatives_district_28
sampson_KFRK,42,89,nc_house_of_representatives_district_28
sampson_MING,211,687,nc_house_of_representatives_district_28
sampson_NGRV,33,40,nc_house_of_representatives_district_28
sampson_PLVW,135,769,nc_house_of_representatives_district_28
sampson_ROSE,51,139,nc_house_of_representatives_district_28
sampson_SBRG,82,206,nc_house_of_representatives_district_28
sampson_WBRK,147,301,nc_house_of_representatives_district_28
sampson_CURBSIDE,0,0,nc_house_of_representatives_district_28
