prec_id,Paul Luebke,Jason Chambers,election
durham_01,281,45,nc_house_of_representatives_district_30
durham_02,542,62,nc_house_of_representatives_district_30
durham_03,456,75,nc_house_of_representatives_district_30
durham_04,533,129,nc_house_of_representatives_district_30
durham_05,393,60,nc_house_of_representatives_district_30
durham_06,496,96,nc_house_of_representatives_district_30
durham_24,696,557,nc_house_of_representatives_district_30
durham_36,593,186,nc_house_of_representatives_district_30
durham_37,762,828,nc_house_of_representatives_district_30
durham_43,1446,715,nc_house_of_representatives_district_30
durham_44,836,859,nc_house_of_representatives_district_30
durham_45,484,549,nc_house_of_representatives_district_30
durham_46,579,195,nc_house_of_representatives_district_30
durham_50,720,404,nc_house_of_representatives_district_30
