prec_id,Jennifer Weiss,Don Frantz,election
wake_43831,459,153,nc_house_of_representatives_district_35
wake_43832,519,242,nc_house_of_representatives_district_35
wake_43833,517,529,nc_house_of_representatives_district_35
wake_43834,300,258,nc_house_of_representatives_district_35
wake_43846,696,446,nc_house_of_representatives_district_35
wake_43859,533,638,nc_house_of_representatives_district_35
wake_43861,552,174,nc_house_of_representatives_district_35
wake_11689,452,262,nc_house_of_representatives_district_35
wake_12055,465,305,nc_house_of_representatives_district_35
wake_14977,450,216,nc_house_of_representatives_district_35
wake_17533,616,282,nc_house_of_representatives_district_35
wake_17899,390,209,nc_house_of_representatives_district_35
wake_43923,525,539,nc_house_of_representatives_district_35
wake_43926,548,522,nc_house_of_representatives_district_35
wake_43929,443,339,nc_house_of_representatives_district_35
wake_43932,266,188,nc_house_of_representatives_district_35
wake_43938,345,286,nc_house_of_representatives_district_35
wake_43939,473,401,nc_house_of_representatives_district_35
wake_43942,297,161,nc_house_of_representatives_district_35
wake_44136,606,480,nc_house_of_representatives_district_35
wake_44137,783,740,nc_house_of_representatives_district_35
wake_18-06,16,13,nc_house_of_representatives_district_35
