prec_id,Robin Anderson,Nelson Dollar,election
wake_43922,431,382,nc_house_of_representatives_district_36
wake_43924,314,302,nc_house_of_representatives_district_36
wake_43925,255,275,nc_house_of_representatives_district_36
wake_43927,525,635,nc_house_of_representatives_district_36
wake_43928,433,786,nc_house_of_representatives_district_36
wake_43931,472,623,nc_house_of_representatives_district_36
wake_43933,498,513,nc_house_of_representatives_district_36
wake_43935,337,418,nc_house_of_representatives_district_36
wake_43936,443,422,nc_house_of_representatives_district_36
wake_43937,476,421,nc_house_of_representatives_district_36
wake_43941,479,454,nc_house_of_representatives_district_36
wake_18-02,490,1221,nc_house_of_representatives_district_36
wake_18-03,375,593,nc_house_of_representatives_district_36
wake_18-04,137,261,nc_house_of_representatives_district_36
wake_18-05,632,1150,nc_house_of_representatives_district_36
wake_18-06,532,503,nc_house_of_representatives_district_36
wake_18-07,377,896,nc_house_of_representatives_district_36
wake_18-08,521,701,nc_house_of_representatives_district_36
wake_20-03,391,481,nc_house_of_representatives_district_36
wake_20-05,505,764,nc_house_of_representatives_district_36
wake_20-09,339,551,nc_house_of_representatives_district_36
