prec_id,Deborah K. Ross,Madison E. Shook,election
wake_43835,283,285,nc_house_of_representatives_district_38
wake_43836,605,276,nc_house_of_representatives_district_38
wake_43837,424,132,nc_house_of_representatives_district_38
wake_01-07A,83,14,nc_house_of_representatives_district_38
wake_43839,363,159,nc_house_of_representatives_district_38
wake_43842,283,202,nc_house_of_representatives_district_38
wake_43844,981,226,nc_house_of_representatives_district_38
wake_43851,589,302,nc_house_of_representatives_district_38
wake_43853,579,233,nc_house_of_representatives_district_38
wake_43855,54,1,nc_house_of_representatives_district_38
wake_43856,433,27,nc_house_of_representatives_district_38
wake_43857,425,89,nc_house_of_representatives_district_38
wake_12785,538,9,nc_house_of_representatives_district_38
wake_18264,637,27,nc_house_of_representatives_district_38
wake_15-02,267,405,nc_house_of_representatives_district_38
wake_15-04,321,471,nc_house_of_representatives_district_38
wake_16-02,4,0,nc_house_of_representatives_district_38
wake_16-03,306,252,nc_house_of_representatives_district_38
wake_16-05,430,472,nc_house_of_representatives_district_38
wake_16-06,163,105,nc_house_of_representatives_district_38
wake_16-07,700,649,nc_house_of_representatives_district_38
wake_18-01,771,384,nc_house_of_representatives_district_38
wake_18-04,383,649,nc_house_of_representatives_district_38
