prec_id,Darren Jackson,Duane Cutlip,election
wake_44075,350,463,nc_house_of_representatives_district_39
wake_44076,653,468,nc_house_of_representatives_district_39
wake_44077,372,554,nc_house_of_representatives_district_39
wake_44105,126,302,nc_house_of_representatives_district_39
wake_44106,553,582,nc_house_of_representatives_district_39
wake_44107,468,482,nc_house_of_representatives_district_39
wake_44108,851,805,nc_house_of_representatives_district_39
wake_13-01,144,79,nc_house_of_representatives_district_39
wake_13-07,133,60,nc_house_of_representatives_district_39
wake_13-08,530,178,nc_house_of_representatives_district_39
wake_16-01,258,444,nc_house_of_representatives_district_39
wake_16-02,980,281,nc_house_of_representatives_district_39
wake_16-04,407,439,nc_house_of_representatives_district_39
wake_16-06,80,73,nc_house_of_representatives_district_39
wake_16-08,1486,360,nc_house_of_representatives_district_39
wake_16-09,474,384,nc_house_of_representatives_district_39
wake_17-02,134,149,nc_house_of_representatives_district_39
wake_17-04,694,601,nc_house_of_representatives_district_39
wake_17-06,294,313,nc_house_of_representatives_district_39
wake_17-08,1048,786,nc_house_of_representatives_district_39
wake_19-16,267,398,nc_house_of_representatives_district_39
wake_19-17,620,537,nc_house_of_representatives_district_39
