prec_id,Alice Graham Underhill,Norman Sanderson,Herb Sobel,election
craven_03,683,1240,40,nc_house_of_representatives_district_3
craven_04,7,0,0,nc_house_of_representatives_district_3
craven_05,341,652,44,nc_house_of_representatives_district_3
craven_06,14,23,2,nc_house_of_representatives_district_3
craven_07,34,104,2,nc_house_of_representatives_district_3
craven_10,161,180,5,nc_house_of_representatives_district_3
craven_11,223,723,24,nc_house_of_representatives_district_3
craven_12,36,173,5,nc_house_of_representatives_district_3
craven_13,112,218,11,nc_house_of_representatives_district_3
craven_14,612,660,18,nc_house_of_representatives_district_3
craven_15,157,181,3,nc_house_of_representatives_district_3
craven_16,410,1000,49,nc_house_of_representatives_district_3
craven_17,160,600,22,nc_house_of_representatives_district_3
craven_18,253,553,23,nc_house_of_representatives_district_3
craven_20,520,1117,32,nc_house_of_representatives_district_3
craven_21,232,591,23,nc_house_of_representatives_district_3
craven_22,300,810,19,nc_house_of_representatives_district_3
craven_23,442,1095,24,nc_house_of_representatives_district_3
craven_N1,219,229,9,nc_house_of_representatives_district_3
craven_N2,48,47,2,nc_house_of_representatives_district_3
craven_N3,243,374,9,nc_house_of_representatives_district_3
craven_N4,63,82,3,nc_house_of_representatives_district_3
craven_N5,91,165,16,nc_house_of_representatives_district_3
craven_N6,363,576,16,nc_house_of_representatives_district_3
craven_CURBSIDE,0,0,0,nc_house_of_representatives_district_3
pamlico_1AL A,81,136,3,nc_house_of_representatives_district_3
pamlico_5AP,374,659,21,nc_house_of_representatives_district_3
pamlico_3BY,405,269,7,nc_house_of_representatives_district_3
pamlico_1GB,119,262,3,nc_house_of_representatives_district_3
pamlico_4HB,12,101,1,nc_house_of_representatives_district_3
pamlico_4MSIC,69,32,0,nc_house_of_representatives_district_3
pamlico_2OT,442,629,16,nc_house_of_representatives_district_3
pamlico_1RB,149,356,0,nc_house_of_representatives_district_3
pamlico_2SW,94,131,0,nc_house_of_representatives_district_3
pamlico_4VM A,59,35,2,nc_house_of_representatives_district_3
pamlico_CURBSIDE,55,29,0,nc_house_of_representatives_district_3
