prec_id,Elmer Floyd,election
cumberland_CC01,512,nc_house_of_representatives_district_43
cumberland_CC03,161,nc_house_of_representatives_district_43
cumberland_CC05,602,nc_house_of_representatives_district_43
cumberland_G2A,1177,nc_house_of_representatives_district_43
cumberland_CC13,514,nc_house_of_representatives_district_43
cumberland_CC16,987,nc_house_of_representatives_district_43
cumberland_CC19,324,nc_house_of_representatives_district_43
cumberland_CC21,825,nc_house_of_representatives_district_43
cumberland_G2B,60,nc_house_of_representatives_district_43
cumberland_G2C,89,nc_house_of_representatives_district_43
cumberland_CC26,422,nc_house_of_representatives_district_43
cumberland_CC33,628,nc_house_of_representatives_district_43
cumberland_G11B,69,nc_house_of_representatives_district_43
cumberland_G2E,1239,nc_house_of_representatives_district_43
