prec_id,Diane Parfitt,Johnny Dawkins,election
cumberland_AH49,757,337,nc_house_of_representatives_district_44
cumberland_G5C,456,341,nc_house_of_representatives_district_44
cumberland_CC03,45,60,nc_house_of_representatives_district_44
cumberland_CC04,253,234,nc_house_of_representatives_district_44
cumberland_CC06,219,269,nc_house_of_representatives_district_44
cumberland_CC07,185,345,nc_house_of_representatives_district_44
cumberland_CC08,298,521,nc_house_of_representatives_district_44
cumberland_CC12,259,617,nc_house_of_representatives_district_44
cumberland_CC14,442,784,nc_house_of_representatives_district_44
cumberland_CC15,223,351,nc_house_of_representatives_district_44
cumberland_CC18,59,150,nc_house_of_representatives_district_44
cumberland_G4B,210,348,nc_house_of_representatives_district_44
cumberland_CC24,181,232,nc_house_of_representatives_district_44
cumberland_CC25,399,304,nc_house_of_representatives_district_44
cumberland_CC26,441,248,nc_house_of_representatives_district_44
cumberland_CC27,477,226,nc_house_of_representatives_district_44
cumberland_G5B,373,62,nc_house_of_representatives_district_44
cumberland_CC29,507,283,nc_house_of_representatives_district_44
cumberland_G4A,293,305,nc_house_of_representatives_district_44
cumberland_CC31,376,332,nc_house_of_representatives_district_44
cumberland_CC34,363,618,nc_house_of_representatives_district_44
cumberland_CU02,398,390,nc_house_of_representatives_district_44
cumberland_G8A,114,79,nc_house_of_representatives_district_44
cumberland_MR02,580,377,nc_house_of_representatives_district_44
