prec_id,Rick Glazier,Jackie Warner,election
cumberland_G7A,205,371,nc_house_of_representatives_district_45
cumberland_G1A,459,223,nc_house_of_representatives_district_45
cumberland_CC10,252,219,nc_house_of_representatives_district_45
cumberland_G3B,169,177,nc_house_of_representatives_district_45
cumberland_CC12,67,80,nc_house_of_representatives_district_45
cumberland_CC15,290,294,nc_house_of_representatives_district_45
cumberland_CC18,285,354,nc_house_of_representatives_district_45
cumberland_G4B,69,84,nc_house_of_representatives_district_45
cumberland_G2B,780,528,nc_house_of_representatives_district_45
cumberland_G2C,973,901,nc_house_of_representatives_district_45
cumberland_G8C,407,290,nc_house_of_representatives_district_45
cumberland_EO61-1,610,649,nc_house_of_representatives_district_45
cumberland_EO61-2,358,444,nc_house_of_representatives_district_45
cumberland_G8D,138,201,nc_house_of_representatives_district_45
cumberland_G9B,110,33,nc_house_of_representatives_district_45
cumberland_G9A,444,550,nc_house_of_representatives_district_45
cumberland_G10B,178,206,nc_house_of_representatives_district_45
cumberland_G1B,620,834,nc_house_of_representatives_district_45
cumberland_LI65,490,793,nc_house_of_representatives_district_45
cumberland_G2D,755,764,nc_house_of_representatives_district_45
cumberland_G3A,1047,564,nc_house_of_representatives_district_45
cumberland_G3C,247,274,nc_house_of_representatives_district_45
cumberland_G4C,275,129,nc_house_of_representatives_district_45
cumberland_G6A,79,180,nc_house_of_representatives_district_45
cumberland_G10A,37,37,nc_house_of_representatives_district_45
cumberland_G7B,169,317,nc_house_of_representatives_district_45
