prec_id,Douglas Y. Yongue,Gaston (G. L.) Pridgen,election
hoke_04,140,188,nc_house_of_representatives_district_46
hoke_05,188,240,nc_house_of_representatives_district_46
hoke_06A,640,658,nc_house_of_representatives_district_46
hoke_12,359,664,nc_house_of_representatives_district_46
hoke_13,145,215,nc_house_of_representatives_district_46
hoke_14,459,370,nc_house_of_representatives_district_46
robeson_08,116,350,nc_house_of_representatives_district_46
robeson_09,186,169,nc_house_of_representatives_district_46
robeson_13,186,233,nc_house_of_representatives_district_46
robeson_14,101,132,nc_house_of_representatives_district_46
robeson_21,297,303,nc_house_of_representatives_district_46
robeson_31,360,390,nc_house_of_representatives_district_46
robeson_32,290,303,nc_house_of_representatives_district_46
robeson_41,242,526,nc_house_of_representatives_district_46
robeson_CURBSIDE,0,0,nc_house_of_representatives_district_46
scotland_2,1,0,nc_house_of_representatives_district_46
scotland_3,367,274,nc_house_of_representatives_district_46
scotland_4,401,346,nc_house_of_representatives_district_46
scotland_5,172,193,nc_house_of_representatives_district_46
scotland_7,7,0,nc_house_of_representatives_district_46
scotland_8,139,127,nc_house_of_representatives_district_46
scotland_9,214,182,nc_house_of_representatives_district_46
scotland_10,263,148,nc_house_of_representatives_district_46
