prec_id,Charles Graham,Brawleigh Jason Graham,election
robeson_02,325,71,nc_house_of_representatives_district_47
robeson_04,384,130,nc_house_of_representatives_district_47
robeson_10,187,126,nc_house_of_representatives_district_47
robeson_11,611,697,nc_house_of_representatives_district_47
robeson_11A,208,86,nc_house_of_representatives_district_47
robeson_12,243,120,nc_house_of_representatives_district_47
robeson_17,73,22,nc_house_of_representatives_district_47
robeson_18A,301,249,nc_house_of_representatives_district_47
robeson_22,477,131,nc_house_of_representatives_district_47
robeson_23,618,199,nc_house_of_representatives_district_47
robeson_24,158,77,nc_house_of_representatives_district_47
robeson_25,220,71,nc_house_of_representatives_district_47
robeson_26,546,112,nc_house_of_representatives_district_47
robeson_27,222,143,nc_house_of_representatives_district_47
robeson_28,157,83,nc_house_of_representatives_district_47
robeson_30,378,120,nc_house_of_representatives_district_47
robeson_33,89,53,nc_house_of_representatives_district_47
robeson_34,170,77,nc_house_of_representatives_district_47
robeson_35,386,138,nc_house_of_representatives_district_47
robeson_36,83,79,nc_house_of_representatives_district_47
robeson_38,79,46,nc_house_of_representatives_district_47
robeson_39,334,77,nc_house_of_representatives_district_47
robeson_CURBSIDE,0,0,nc_house_of_representatives_district_47
