prec_id,Mott Blair,Jimmy Dixon,election
duplin_ALBE,129,281,nc_house_of_representatives_district_4
duplin_BEUL,293,525,nc_house_of_representatives_district_4
duplin_CALY,199,142,nc_house_of_representatives_district_4
duplin_CFRK,63,189,nc_house_of_representatives_district_4
duplin_CHAR,280,115,nc_house_of_representatives_district_4
duplin_CHIN,129,178,nc_house_of_representatives_district_4
duplin_CYCK,179,309,nc_house_of_representatives_district_4
duplin_FAIS,338,150,nc_house_of_representatives_district_4
duplin_GLIS,80,143,nc_house_of_representatives_district_4
duplin_HALL,194,166,nc_house_of_representatives_district_4
duplin_KENA,336,277,nc_house_of_representatives_district_4
duplin_LOCK,68,97,nc_house_of_representatives_district_4
duplin_MAGN,237,136,nc_house_of_representatives_district_4
duplin_ROCK,198,141,nc_house_of_representatives_district_4
duplin_ROSE,348,246,nc_house_of_representatives_district_4
duplin_SMCA,159,196,nc_house_of_representatives_district_4
duplin_WALL,882,566,nc_house_of_representatives_district_4
duplin_WARS,573,328,nc_house_of_representatives_district_4
duplin_WOLF,187,315,nc_house_of_representatives_district_4
onslow_CL10,132,366,nc_house_of_representatives_district_4
onslow_GB12,239,429,nc_house_of_representatives_district_4
onslow_RL09,388,588,nc_house_of_representatives_district_4
onslow_TL06,234,426,nc_house_of_representatives_district_4
