prec_id,Joe Hackney,Cathy Wright,election
chatham_3,257,335,nc_house_of_representatives_district_54
chatham_6,121,260,nc_house_of_representatives_district_54
chatham_9,195,328,nc_house_of_representatives_district_54
chatham_15,316,175,nc_house_of_representatives_district_54
chatham_18,378,440,nc_house_of_representatives_district_54
chatham_20,280,387,nc_house_of_representatives_district_54
chatham_21,254,235,nc_house_of_representatives_district_54
chatham_24,62,258,nc_house_of_representatives_district_54
chatham_30,198,193,nc_house_of_representatives_district_54
chatham_42,208,284,nc_house_of_representatives_district_54
chatham_45,184,188,nc_house_of_representatives_district_54
chatham_73,333,132,nc_house_of_representatives_district_54
chatham_75,440,510,nc_house_of_representatives_district_54
chatham_78,486,347,nc_house_of_representatives_district_54
chatham_85,235,244,nc_house_of_representatives_district_54
chatham_NWM117,502,382,nc_house_of_representatives_district_54
chatham_MCH110,704,316,nc_house_of_representatives_district_54
chatham_ESC114,517,356,nc_house_of_representatives_district_54
chatham_PIT113,781,508,nc_house_of_representatives_district_54
moore_CAM,156,351,nc_house_of_representatives_district_54
moore_CAR,53,75,nc_house_of_representatives_district_54
moore_CURBSIDE,0,0,nc_house_of_representatives_district_54
orange_DA,713,216,nc_house_of_representatives_district_54
orange_DM,519,130,nc_house_of_representatives_district_54
orange_KM,474,213,nc_house_of_representatives_district_54
orange_SJ,724,203,nc_house_of_representatives_district_54
orange_WC,448,257,nc_house_of_representatives_district_54
